NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,S6.FuzzyCMeans,Ku.FuzzyCMeans,Mre.FuzzyCMeans,S6.FC.nonIR5,S6.FC.IR5,S6.FC.IR30,S6.FC.IR2,S6S.FC.IR8,S6.FC.IR24,S6.FC.nonIR24,Ku.FC.nonIR5,Ku.FC.IR5,Ku.FC.IR30,Ku.FC.IR2,Ku.FC.IR8,Ku.FC.IR24,Ku.FC.nonIR24,Mre.FC.nonIR5,Mre.FC.IR5,Mre.FC.IR30,Mre.FC.IR2,Mre.FC.IR8,Mre.FC.IR24,Mre.FC.nonIR24
ACTN4,O43707,9606.ENSP00000252699,0, cortical actin cytoskeleton [GO:0030864],apoptotic process,actin filament organization ,Transcription Regulation,slateblue1,0,1,4,0,0,0,0,0,0,0,1.397333333,3.975,2.754333333,5.987666667,7.783333333,3.323,4.612333333,56,44.46366667,45.24366667,0,51.15,0,61.76233333
ACTR2,P61160,9606.ENSP00000367220,0, site of double-strand break [GO:0035861],cell division ,actin binding,DNA Repair,firebrick1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2.109666667,0,0,0,0,0,33.694,0,0,0
ACTR3,P61158,9606.ENSP00000263238,0, site of double-strand break [GO:0035861],actin filament capping ,damaged DNA binding ,DNA Repair,firebrick1,0,0,5,0,0,0,0,0,0,0,0,0,0,1.961333333,2.620333333,2.366,0,0,0,18.82166667,0,0,0,0
ADAR,P55265,9606.ENSP00000357459,0,supraspliceosomal complex ,RNA processing ,RNA binding ,Chromatin Organization,darkviolet,0,0,4,5.236,5.682,7.353,7.700333333,8.383666667,6.982666667,5.140666667,4.436333333,3.819333333,2.52,4.274666667,6.045,3.022333333,4.943333333,0,31.82233333,62.319,0,46.02233333,63.798,57.73766667
ADARB1,P78563,9606.ENSP00000353920,0,nucleolus,RNA processing,adenosine deaminase activity,RNA Metabolism,gold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.74266667,0,0,0
ADNP,Q9H2P0,9606.ENSP00000379346,0,RNA polymerase II transcription regulator complex ,"transcription, DNA-templated ",chromatin binding ,Chromatin Organization,darkviolet,1,0,0,2.528,0,2.201,5.821,2.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRM1,Q16186,9606.ENSP00000478877,0,proteasome complex,proteasome-mediated ubiquitin-dependent protein catabolic process,endopeptidase activator activity,Proteasome,grey,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,38.46066667,31.53066667,32.134,0
AGPS,O00116,9606.ENSP00000264167,0,nucleolus,lipid biosynthetic process,FAD binding,Ribosome Biosynthesis,lightgreen,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,43.39733333,46.24666667,0,63.09533333,61.899,0
AHCTF1,Q8WYP5,9606.ENSP00000355465,0,nuclear pore ,nucleocytoplasmic transport ,DNA binding ,Cell Cycle regulation,coral1,1,0,3,0,0,0,2.074333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.70166667,0,0
AHCY,P23526,9606.ENSP00000217426,0,cytosol [GO:0005829],S-adenosylmethionine cycle,NAD binding ,DNA Repair,firebrick1,0,4,0,0,0,0,0,0,0,0,0.966333333,0,0,2.528,0,0,0,0,0,0,0,0,0,0
AHNAK,Q09666,9606.ENSP00000367263,0,actin cytoskeleton [GO:0015629],RNA splicing ,RNA binding ,DNA Repair,firebrick1,0,2,4,0,0,0,0,0,0,0,0,0.304833333,0,5.898833333,5.656166667,0,0,54,42.39416667,55.92916667,0,0,67.56766667,67.1075
AIFM1,O95831,9606.ENSP00000287295,0,nucleus,regulation of apoptotic DNA fragmentation,NADH dehydrogenase activity,Chromatin Organization,darkviolet,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14833333,45.54666667,0,56.71133333,0,0
AIMP2,Q13155,9606.ENSP00000223029,0,aminoacyl-tRNA synthetase multienzyme complex [GO:0017101],RNA processing ,RNA binding ,p53 Pathway,tomato,0,4,0,0,0,0,0,0,0,0,0.457,0,0,1.568666667,0,0,0,0,0,0,0,0,0,0
ALDH1B1,P30837,9606.ENSP00000366927,0, nucleoplasm [GO:0005654],NAD metabolic process,NAD binding ,DNA Repair,firebrick1,0,3,0,0,0,0,0,0,0,0,1.142666667,0,0,1.844333333,5.396,0,1.838666667,0,0,0,0,0,0,0
ALDH1L1,O75891,9606.ENSP00000273450,HR,cytoplasm,NADPH regeneration,formyltetrahydrofolate dehydrogenase activity,DNA Repair,firebrick1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.73966667,0,0,0
ALDH2,P05091,9606.ENSP00000261733,0, mitochondrial matrix [GO:0005759],carbohydrate metabolic process,NAD binding ,DNA Repair,firebrick1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.301,2.773,0,0,0,0,0,0,0,0,0
ALDH7A1,P49419,9606.ENSP00000387123,0, nucleus [GO:0005634],glycolytic process ,aldehyde dehydrogenase (NAD) activity,DNA Repair,firebrick1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.688666667,2.588666667,0,0,0,0,0,0,0,0,0
ALDOA,P04075,9606.ENSP00000378669,0,nucleus ,glycolytic process ,RNA binding ,DNA Repair,firebrick1,4,1,0,0,1.1165,0,0,6.390833333,1.2965,3.656833333,2.006166667,2.698833333,1.6995,4.4245,5.6115,1.950833333,3.835166667,0,0,0,0,0,0,0
ALDOC,P09972,9606.ENSP00000378731,0,cytosol,gluconeogenesis,fructose-bisphosphate aldolase activity,Transcription Regulation,slateblue1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.94366667,0,0,0
ALKBH5,Q6P6C2,9606.ENSP00000382091,HR,nucleus,mRNA processing,oxidative RNA demethylase activity,RNA Metabolism,gold,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.088,0,0,31.35266667,0
ANAPC7,Q9UJX3,9606.ENSP00000394394,0,anaphase-promoting complex,regulation of mitotic cell cycle,protein phosphatase binding,Cell Cycle regulation,coral1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.20466667,0,0
ANKLE2,Q86XL3,9606.ENSP00000350686,0,membrane,cell cycle,protein phosphatase 2A binding,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.83233333,0,0,0
ANXA11,P50995,9606.ENSP00000398610,0,nuclear envelope,cytokinetic process,calcium ion binding,Cell Cycle regulation,coral1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.82533333,0,0
ANXA2,P07355,9606.ENSP00000346032,0,RNA polymerase II transcription regulator complex ,positive regulation of transcription from RNA polymerase II promoter ,RNA binding ,DNA Repair,firebrick1,0,4,1,1.88175,3.243166667,3.229166667,0.670833333,3.8775,2.8885,3.095833333,1.021666667,3.200666667,2.888666667,3.315333333,1.532666667,2.086333333,2.571333333,0,0,0,33.651,0,0,0
ANXA5,P08758,9606.ENSP00000296511,0, focal adhesion [GO:0005925],negative regulation of apoptotic process,phospholipid binding,Cell Cycle regulation,coral1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.924,0,0,0,0,0,0,0,0,0,0
ANXA6,P08133,9606.ENSP00000346550,0,perinuclear region of cytoplasm,apoptotic signaling pathway,phosphatidylserine binding,Cell Cycle regulation,coral1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.29466667,0,0
ANXA7,P20073,9606.ENSP00000362010,0,nucleus,negative regulation of gene expression,RNA binding,Cell Cycle regulation,coral1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.798,0,25.18033333,0,0
APEX1,P27695,9606.ENSP00000216714,BER,"chromosome, telomeric region ",base-excision repair ,damaged DNA binding ,DNA Repair,firebrick1,4,0,2,1.215666667,1.244333333,2.233666667,1.533333333,4.461,2.625666667,2.569,1.206666667,5.346333333,2.819333333,5.464333333,7.117,0,0,0,0,39.11633333,39.32566667,41.73866667,55.895,0
AQR,O60306,9606.ENSP00000156471,NER,spliceosomal complex,"mRNA splicing, via spliceosome",mRNA binding,RNA Metabolism,gold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.10716667,26.365,0,0
ARF1,P84077,9606.ENSP00000440005,0, focal adhesion [GO:0005925], intracellular protein transport,GTPase activity ,p53 Pathway,tomato,0,3,0,0,0,0,0,0,0,0,0,0,0,0.433166667,3.671166667,0.8895,0,0,0,0,0,0,0,0
ARID2,Q68CP9,9606.ENSP00000335044,MMR,SWI/SNF complex ,nucleosome disassembly ,DNA binding ,DNA Repair,firebrick1,2,0,0,1.812,1.916666667,2.118666667,0,2.112333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARPC4,P59998,9606.ENSP00000388169,0, site of double-strand break [GO:0035861],actin filament capping ,,DNA Repair,firebrick1,0,2,0,0,0,0,0,0,0,0,0.471,0,0,1.790666667,2.744333333,0,0,0,0,0,0,0,0,0
ASPH,Q12797,9606.ENSP00000368767,0,calcium channel complex ,"transcription, DNA-templated ",calcium ion binding ,Transcription Regulation,slateblue1,3,3,0,0,0,0,4.456666667,2.389,0,0,1.473333333,0,0,0,2.611333333,0,0,0,0,0,0,0,0,0
ATAD3A,Q9NVI7,9606.ENSP00000368030,0,mitochondrial nucleoid,negative regulation of apoptotic process,nucleotide binding,Cell Cycle regulation,coral1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56.67783333,0,0,47.7005,63.50433333,63.07383333
ATP2B1,P20020,9606.ENSP00000392043,HR,"glutamatergic synapse,","cellular calcium ion homeostasis,GO:0007420~brain development",calcium ion transmembrane transporter activity,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.784,0,0,0
ATP2C1,P98194,9606.ENSP00000421326,0,endoplasmic reticulum,calcium ion transport,calcium-transporting ATPase activity,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.13966667,0,0,0
ATRX,P46100,9606.ENSP00000362441,0,"chromosome, telomeric region ",chromatin organization ,damaged DNA binding ,DNA Repair,firebrick1,1,3,0,0,0,0,0.09,0,0,0,0,0,0,0,1.871333333,0,0,0,0,0,0,0,0,0
AZGP1,P25311,9606.ENSP00000292401,0,nucleus,negative regulation of cell proliferation,"GO:0004540~ribonuclease activity,GO:0005515~protein binding,GO:0008320~protein transmembrane transporter activity,",Cell Cycle regulation,coral1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.65233333,0
BANF1,O75531,9606.ENSP00000310275,0,nuclear envelope ,chromatin organization ,DNA binding ,Chromatin Organization,darkviolet,0,0,0,0,1.801833333,1.6815,0,1.7015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BASP1,P80723,9606.ENSP00000319281,0,chromatin,negative regulation of transcription,~transcription corepressor activity,Transcription Regulation,slateblue1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.70333333,0,0,0
BAZ1B,Q9UIG0,9606.ENSP00000342434,DSB,WICH complex,histone phosphorylation,protein tyrosine kinase activity,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.409,45.92433333,0,0,0
BCAS2,O75934,9606.ENSP00000358554,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,DNA Repair,firebrick1,3,2,1,0,0,0,1.708333333,3.157666667,0,0,0,0,0,3.962666667,4.862,0,0,0,0,0,19.56866667,0,0,0
BCLAF1,Q9NYF8,9606.ENSP00000435210,0,mediator complex ,"transcription, DNA-templated ",transcription cofactor activity ,DNA Repair,firebrick1,0,0,0,1.348,1.511333333,1.184333333,0,2.594333333,0.799,0.941333333,0.291333333,1.875333333,0,1.820333333,2.734666667,0,0,0,0,0,0,0,0,0
BOP1,Q14137,9606.ENSP00000455106,0,PeBoW complex,rRNA processing,RNA binding,RNA Metabolism,gold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.74,0,0,0
BRIX1,Q8TDN6,9606.ENSP00000338862,DSB,chromosome ,rRNA processing ,rRNA binding ,Ribosome Biosynthesis,lightgreen,1,2,2,4.665333333,3.351333333,6.424,8.737,3.298,2.529333333,5.752,2.187333333,0,3.188666667,4.810666667,6.553666667,0,0,0,0,44.60133333,0,52.62866667,69.15333333,0
BUB3,O43684,9606.ENSP00000357858,DSB,bub1-bub3 complex ,cell division ,ubiquitin binding ,Cell Cycle regulation,coral1,0,0,2,6.761666667,4.800333333,6.968,7.812333333,8.59,7.249666667,7.608666667,4.580333333,4.305666667,4.998,7.434666667,5.974666667,2.928,5.067666667,0,0,0,0,44.27816667,61.74366667,0
C1QBP,Q07021,9606.ENSP00000225698,NHEJ,nucleolus ,"mRNA splicing, via spliceosome ",transcription corepressor activity ,Ribosome Biosynthesis,lightgreen,0,3,6,0,0,0,2.136666667,1.839,1.814,1.932,1.822666667,2.161666667,2.598,0,5.877,0,0,45,25.51966667,38.59,0,50.5,26.00666667,0
CACYBP,Q9HB71,9606.ENSP00000356652,0, SCF ubiquitin ligase complex [GO:0019005],cellular response to leukemia inhibitory factor,ubiquitin binding ,Cell Cycle regulation,coral1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.719666667,0,0,0,0,0,0,0,0,0,0
CALD1,Q05682,9606.ENSP00000354826,0,cytoskeleton,actin filament bundle assembly,actin binding,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.77266667,0,0,0
CALML5,Q9NZT1,9606.ENSP00000369689,0,ficolin-1-rich granule lumen ,signal transduction ,calcium ion binding ,Cell Cycle regulation,coral1,5,0,0,0,0,0,0,-0.937666667,0,1.990333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CALR,P27797,9606.ENSP00000320866,0, nuclear envelope [GO:0005635],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,0,3,0,0,0,0,0,0,0,0,0,0,0,1.791666667,5.046,0,0,0,0,0,0,0,0,0
CANX,P27824,9606.ENSP00000247461,0,nuclear membrane,protein folding,unfolded protein binding,UPR,maroon,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.50233333,0,52.46033333,0,0
CAPN1,P07384,9606.ENSP00000431984,0,cytoplasm,positive regulation of cell proliferation,peptidase activity,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.76033333,0,0,0
CAPRIN1,Q14444,9606.ENSP00000340329,0,P-body,negative regulation of translation,mRNA binding,RNA Metabolism,gold,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.13933333,20.619,38.47066667,0,0
CAVIN1,Q6NZI2,9606.ENSP00000349541,0,nucleoplasm ,rRNA transcription ,RNA binding ,DNA Repair,firebrick1,4,3,3,0,0,0,1.026333333,2.559,0,0,0,0,0,0,2.587333333,0,0,0,0,0,0,36.654,0,0
CBX3,Q13185,9606.ENSP00000336687,0,chromatin lock complex ,chromatin organization ,histone methyltransferase binding ,DNA Repair,firebrick1,0,3,4,1.127666667,1.206666667,0.903333333,0.617,1.477,1.437333333,0.966666667,1.32,1.764666667,0,1.072666667,4.597,0,0,31,50.17366667,52.00933333,0,51.10333333,62.99033333,51.508
CBX5,P45973,9606.ENSP00000209875,0,histone methyltransferase complex ,chromatin organization ,methylated histone binding ,DNA Repair,firebrick1,0,0,6,6.181,3.389333333,5.540333333,6.975,5.775666667,7.62,5.689666667,3.400333333,4.55,2.137666667,4.721,5.474,4.713,0,0,0,44.39733333,33.756,38.73133333,38.413,0
CCAR1,Q8IX12,9606.ENSP00000265872,NER,nuclear envelope lumen ,"transcription, DNA-templated ",transcription corepressor activity ,Cell Cycle regulation,coral1,4,2,2,1.205666667,0.925666667,1.258666667,0.229666667,3.658,0,1.143333333,0.673666667,0,0,3.274333333,2.759666667,0,0,0,0,18.81633333,0,0,25.56133333,0
CCAR2,Q8N163,9606.ENSP00000310670,NHEJ,DBIRD complex ,"transcription, DNA-templated ",RNA polymerase II core binding ,DNA Repair,firebrick1,1,4,4,2.326666667,2.64,0,5.188333333,0,0,0,0,0,0,3.939,0,0,0,0,0,57.29033333,35.22566667,32.278,56.573,44.99466667
CCDC88C,Q9P219,9606.ENSP00000374507,NER,centrosome ,Wnt signaling pathway ,G-protein alpha-subunit binding ,Cell Cycle regulation,coral1,5,0,0,0,0,0,0,0,0,2.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCT3,P49368,9606.ENSP00000295688,0, chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,0,0,0,0,0,0,0,0,0,0,0.773666667,0,2.015333333,2.507333333,1.963333333,0,0,0,0,0,0,0,0,0
CCT4,P50991,9606.ENSP00000377958,0,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,unfolded protein binding ,Chromatin Organization,darkviolet,0,0,5,0,0,2.151333333,4.760333333,2.773666667,0,2.180666667,1.335333333,0,2.568,4.618666667,5.434333333,1.88,2.151666667,0,0,26.12266667,0,0,0,0
CCT5,P48643,9606.ENSP00000280326,0,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,mRNA binding ,Ribosome Biosynthesis,lightgreen,1,4,0,0,0,0,1.587666667,0,0,0,0.784,0,2.453333333,2.598,0,0,0,0,0,0,0,0,0,0
CCT6A,P40227,9606.ENSP00000275603,0,chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,Cell Cycle regulation,coral1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.962333333,0,0,0,0,0,0,0,0,0,0
CCT7,Q99832,9606.ENSP00000258091,0, chaperonin-containing T-complex [GO:0005832],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,0,4,0,0,0,0,0,0,0,0,0,0,0,1.963,0,0,0,0,0,0,0,0,0,0
CCT8,P50990,9606.ENSP00000286788,HR,chaperonin-containing T-complex ,positive regulation of telomere maintenance via telomerase ,unfolded protein binding ,Nuclear Pore,deepskyblue3,0,4,4,0,2.356333333,0,2.107666667,2.855333333,0,0,0,0,2.141666667,2.078,0,0,0,51,31.04766667,32.64933333,0,50.72133333,56.54166667,68.24466667
CDC20,Q12834,9606.ENSP00000361540,0,anaphase-promoting complex,regulation of mitotic cell cycle,anaphase-promoting complex binding,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.36333333,0,0,0
CDC40,O60508,9606.ENSP00000357928,HR,catalytic step 2 spliceosome,"mRNA splicing, via spliceosome",mRNA binding,RNA Metabolism,gold,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.649,0,0,0
CDC42,P60953,9606.ENSP00000383118,0, cytoplasmic ribonucleoprotein granule [GO:0036464],positive regulation of protein kinase activity ,protein kinase binding ,Chromatin Organization,darkviolet,0,3,0,0,0,0,0,0,0,0,0.932666667,0,0,0,2.929666667,0,0,0,0,0,0,0,0,0
CDC5L,Q99459,9606.ENSP00000360532,DSB,spliceosomal complex ,"mRNA splicing, via spliceosome ",protein phosphatase 1 binding ,DNA Repair,firebrick1,0,4,2,1.775,0,6.165666667,7.003,2.498666667,1.655333333,0,0,0,0,2.964333333,0,0,0,0,0,0,0,38.54166667,50.28366667,0
CDK1,P06493,9606.ENSP00000378699,0,cyclin B1-CDK1 complex ,chromatin organization ,chromatin binding ,DNA Repair,firebrick1,3,3,4,1.523,1.632,0,4.133,4.806333333,0,0,1.425333333,0,0,1.568666667,6.401,2.481333333,0,0,0,26.58133333,0,57.68566667,57.51166667,56.965
CDK5RAP3,Q96JB5,9606.ENSP00000438886,DSB,nucleus,positive regulation of protein ubiquitinatio,ubiquitin-like protein ligase bindin,Cell Cycle regulation,coral1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.984,0,0,0
CDKN2A,P42771,9606.ENSP00000418915,0,senescence-associated heterochromatin focus ,cell cycle ,protein kinase binding ,DNA Repair,firebrick1,3,0,0,2.363666667,2.59,2.206666667,5.749,5.008666667,1.907,4.19,1.709333333,0,2.559666667,6.338666667,6.311666667,2.635666667,2.925,0,0,0,0,0,0,0
CDKN2AIP,Q9NXV6,9606.ENSP00000427108,ForkStall,nucleus,regulation of transcription from RNA polymerase II promoter,transcriptional activator activity,Transcription Regulation,slateblue1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.29666667,0,0,0
CEBPZ,Q03701,9606.ENSP00000234170,DSB,CCAAT-binding factor complex ,"transcription, DNA-templated ",transcription coactivator activity ,Transcription Regulation,slateblue1,0,0,0,0,2.089666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELF1,Q92879,9606.ENSP00000436864,MMR,ribonucleoprotein complex ,"transcription, DNA-templated ",mRNA binding ,Cell Cycle regulation,coral1,0,0,5,0,1.979333333,1.973666667,0,0,0,0,0,0,0,0,0,0,0,0,0,19.98433333,0,0,0,0
CEP152,O94986,9606.ENSP00000370337,0, centrosome [GO:0005813],cell cycle ,protein kinase binding ,Chromatin Organization,darkviolet,0,0,0,0,0,0,0,0,0,0,0,0,2.268666667,0,0,0,0,0,0,0,0,0,0,0
CERS2,Q96G23,9606.ENSP00000271688,0,nucleus,ceramide biosynthetic process,DNA binding,Transcription Regulation,slateblue1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65233333,0,0
CFL1,P23528,9606.ENSP00000432660,0,nuclear matrix ,negative regulation of apoptotic process ,actin filament binding ,Cell Cycle regulation,coral1,0,4,4,0,0,0,0,2.945333333,0,2.172333333,0,1.861666667,0,4.05,0,0,0,0,0,0,0,50.15033333,25.68066667,56.04333333
CHD1L,Q86WJ1,9606.ENSP00000358262,NER,site of double-strand break,chromatin remodeling,nucleosome binding,Chromatin Organization,darkviolet,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.13866667,0,0,0
CHRAC1,Q9NRG0,9606.ENSP00000220913,0,CHRAC ,chromatin organization ,DNA binding ,Chromatin Organization,darkviolet,4,3,0,0,0,0,0,2.615,1.997,0,1.506333333,0,3.427666667,2.225666667,6.852333333,0,0,0,0,0,0,0,0,0
CLIC1,O00299,9606.ENSP00000364935,0,nuclear envelope ,regulation of cell cycle ,chloride channel activity ,Cell Cycle regulation,coral1,0,4,1,3.335333333,2.947333333,4.235666667,0,0,0,4.897333333,1.086,0,2.221666667,2.282666667,0,0,0,0,0,0,21.65866667,0,0,0
CLPX,O76031,9606.ENSP00000300107,0, endopeptidase Clp complex [GO:0009368],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,0,3,0,0,0,0,0,0,0,0,0,0.393333333,0.251333333,0,2.799,0,0.224666667,0,0,0,0,0,0,0
CORO1C,Q9ULV4,9606.ENSP00000394496,0,actin cytoskeleton [GO:0015629],actin filament capping ,actin filament organization ,Chromatin Organization,darkviolet,0,2,6,0,0,0,0,0,0,0,1.683666667,0,2.99,6.901,6.459666667,0,2.256666667,0,0,33.176,0,62.51666667,43.49133333,0
CPS1,P31327,9606.ENSP00000402608,0,nucleolus ,cellular response to cAMP ,endopeptidase activity ,Cell Cycle regulation,coral1,2,0,0,3.062333333,2.226666667,2.182,0,2.585333333,1.849333333,2.353,4.394166667,5.8725,5.5395,6.444833333,8.8545,6.160166667,7.366833333,0,0,0,0,0,0,0
CPSF1,Q10570,9606.ENSP00000484669,HR,mRNA cleavage and polyadenylation specificity factor complex ,mRNA polyadenylation ,mRNA binding ,RNA Metabolism,gold,0,3,4,0,0,3.741333333,4.006666667,2.286666667,1.889666667,0,0.422666667,0,0,0.681666667,4.389333333,0,1.88,0,0,0,0,0,26.03933333,37.974
CPSF3,Q9UKF6,9606.ENSP00000238112,0,nucleoplasm ,mRNA polyadenylation ,5'-3' exonuclease activity ,DNA Repair,firebrick1,1,0,0,0,0,0,1.559666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
