NAME,Uniprot,stringId,DNA_Repair,GO_CC,GO_BP,GO_MF,Annotation,An.color,An.number
POLR1C,O15160,9606.ENSP00000496044,0,fibrillar center,transcription from RNA polymerase I promoter,RNA polymerase I activity,Transcription Regulation,slateblue1,9
WDR46,O15213,9606.ENSP00000363746,0,nucleolus,ribosomal small subunit biogenesis,RNA binding,Ribosome Biosynthesis,lightgreen,7
NKRF,O15226,9606.ENSP00000442308,0,nucleus,"negative regulation of transcription, DNA-templated",RNA polymerase II core promoter proximal region sequence-specific DNA binding,Transcription Regulation,slateblue1,9
SURF4,O15260,9606.ENSP00000361057,0,nuclear membrane,Golgi organization,protein binding,UPR,maroon,10
OGT,O15294,9606.ENSP00000362824,0,histone acetyltransferase complex ,positive regulation of histone methylation ,chromatin DNA binding ,Chromatin Organization,darkviolet,2
NVL,O15381,9606.ENSP00000281701,0,nucleolus,ribosome biogenesis,RNA binding,Ribosome Biosynthesis,lightgreen,7
NUP42,O15504,9606.ENSP00000258742,0,nuclear pore,nucleocytoplasmic transport,nuclear export signal receptor activity,Nuclear Pore,deepskyblue3,4
DHX15,O43143,9606.ENSP00000336741,0,spliceosomal complex ,RNA splicing ,RNA helicase activity ,RNA Metabolism,gold,8
RNMT,O43148,9606.ENSP00000466111,0,mRNA cap methyltransferase complex,methylguanosine mRNA capping,mRNA (guanine-N7-)-methyltransferase activity,RNA Metabolism,gold,8
RRP8,O43159,9606.ENSP00000254605,0,eNoSc complex ,positive regulation of histone methylation ,methyltransferase activity ,Chromatin Organization,darkviolet,2
PRPF4,O43172,9606.ENSP00000363313,NER,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,RNA Metabolism,gold,8
PSMD3,O43242,9606.ENSP00000264639,0, proteasome complex [GO:0000502],proteasomal protein catabolic process ,proteasome-activating ATPase activity ,Proteasome,grey,6
RBFOX2,O43251,9606.ENSP00000413035,0,nucleoplasm ,"negative regulation of transcription, DNA-templated ",transcription corepressor activity ,Transcription Regulation,slateblue1,9
SART1,O43290,9606.ENSP00000310448,HR,U2-type precatalytic spliceosome ,"mRNA splicing, via spliceosome ",RNA binding ,Ribosome Biosynthesis,lightgreen,7
PPIH,O43447,9606.ENSP00000306614,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",ribonucleoprotein complex binding ,RNA Metabolism,gold,8
HTRA2,O43464,9606.ENSP00000258080,DSB,serine-type endopeptidase complex,proteolysis,"serine-type endopeptidase activity,",Proteasome,grey,6
EPB41L2,O43491,9606.ENSP00000357110,0,nucleoplasm,cell cycle,structural molecule activity,Cell Cycle regulation,coral1,1
PLRG1,O43660,9606.ENSP00000424417,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,Cell Cycle regulation,coral1,1
BUB3,O43684,9606.ENSP00000357858,DSB,bub1-bub3 complex ,cell division ,ubiquitin binding ,Cell Cycle regulation,coral1,1
ACTN4,O43707,9606.ENSP00000252699,0, cortical actin cytoskeleton [GO:0030864],apoptotic process,actin filament organization ,Transcription Regulation,slateblue1,9
WBSCR22,O43709,9606.ENSP00000401191,DSB,nucleolus ,chromatin organization ,methyltransferase activity ,Chromatin Organization,darkviolet,2
HTATSF1,O43719,9606.ENSP00000442699,RLOOPS,U2-type spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,Transcription Regulation,slateblue1,9
MYO1B,O43795,9606.ENSP00000376132,0,myosin complex ,actin filament organization ,actin filament organization ,p53 Pathway,tomato,5
NUDT21,O43809,9606.ENSP00000300291,DSB,mRNA cleavage and polyadenylation specificity factor complex ,mRNA polyadenylation ,histone deacetylase binding ,RNA Metabolism,gold,8
RRP9,O43818,9606.ENSP00000232888,0,small-subunit processome ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
IDH3B,O43837,9606.ENSP00000370223,0,mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962],2-oxoglutarate metabolic process,isocitrate dehydrogenase (NAD+) activity,DNA Repair,firebrick1,3
SMARCA5,O60264,9606.ENSP00000283131,0,B-WICH complex ,ATP-dependent chromatin remodeling ,chromatin binding ,Chromatin Organization,darkviolet,2
AQR,O60306,9606.ENSP00000156471,NER,spliceosomal complex,"mRNA splicing, via spliceosome",mRNA binding,RNA Metabolism,gold,8
OPA1,O60313,9606.ENSP00000354681,0,nucleoplasm,apoptotic process,GTPase activity,Cell Cycle regulation,coral1,1
MCM3AP,O60318,9606.ENSP00000291688,0,nuclear pore nuclear basket,mRNA export from nucleus,histone acetyltransferase activity,Chromatin Organization,darkviolet,2
KDM1A,O60341,9606.ENSP00000383042,0,DNA repair complex ,negative regulation of histone H3-K4 methylation ,chromatin binding ,DNA Repair,firebrick1,3
SYNCRIP,O60506,9606.ENSP00000358635,MMR,CRD-mediated mRNA stability complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
CDC40,O60508,9606.ENSP00000357928,HR,catalytic step 2 spliceosome,"mRNA splicing, via spliceosome",mRNA binding,RNA Metabolism,gold,8
CTNND1,O60716,9606.ENSP00000382004,0,catenin complex ,Wnt signaling pathway ,protein kinase binding ,Chromatin Organization,darkviolet,2
DPM1,O60762,9606.ENSP00000360638,0,nucleus,protein glycosylation,"transferase activity, transferring glycosyl groups",Transcription Regulation,slateblue1,9
USO1,O60763,9606.ENSP00000264904,0,fibrillar center,small GTPase mediated signal transduction,RNA binding,UPR,maroon,10
HNRNPCL1,O60812,9606.ENSP00000365370,0,ribonucleoprotein complex,mRNA 3'-end processing,RNA binding,RNA Metabolism,gold,8
HIST1H2BK,O60814,9606.ENSP00000349430,DSB,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
DKC1,O60832,9606.ENSP00000358563,DSB,telomerase holoenzyme complex ,telomere maintenance via telomerase ,telomerase RNA binding ,Chromatin Organization,darkviolet,2
DNAJA2,O60884,9606.ENSP00000314030,0,cytoplasm,protein folding,unfolded protein binding,UPR,maroon,10
NBN,O60934,9606.ENSP00000265433,HR,Mre11 complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
FAM20B,O75063,9606.ENSP00000263733,0,nucleoplasm,phosphorylation,kinase activity,UPR,maroon,10
ZC3H11A,O75152,9606.ENSP00000491830,0,nucleoplasm,poly(A)+ mRNA export from nucleus,mRNA binding,RNA Metabolism,gold,8
GGCT,O75223,9606.ENSP00000275428,0,cytosol,release of cytochrome c from mitochondria,gamma-glutamylcyclotransferase activity,Cell Cycle regulation,coral1,1
PDCD6,O75340,9606.ENSP00000264933,0,Cul3-RING ubiquitin ligase complex ,activation of cysteine-type endopeptidase activity involved in apoptotic process ,ubiquitin protein ligase binding ,Chromatin Organization,darkviolet,2
MACROH2A1,O75367,9606.ENSP00000423563,0,nucleosome ,chromatin organization ,structural constituent of chromatin ,Chromatin Organization,darkviolet,2
PEX14,O75381,9606.ENSP00000349016,0,"fibrillar center,","negative regulation of transcription, DNA-templated",transcription corepressor activity,Transcription Regulation,slateblue1,9
CS,O75390,9606.ENSP00000342056,0,nucleus ,tricarboxylic acid cycle ,RNA binding ,DNA Repair,firebrick1,3
BANF1,O75531,9606.ENSP00000310275,0,nuclear envelope ,chromatin organization ,DNA binding ,Chromatin Organization,darkviolet,2
SF3B1,O75533,9606.ENSP00000335321,0,B-WICH complex ,chromatin organization ,mRNA binding ,RNA Metabolism,gold,8
CSDE1,O75534,9606.ENSP00000481762,ForkStall,CRD-mediated mRNA stability complex ,CRD-mediated mRNA stabilization ,RNA binding ,RNA Metabolism,gold,8
NPM3,O75607,9606.ENSP00000359128,0,nucleolus ,chromatin organization ,chromatin binding ,Chromatin Organization,darkviolet,2
SNRNP200,O75643,9606.ENSP00000317123,HR, spliceosomal complex,"mRNA splicing, via spliceosome ",RNA helicase activity ,RNA Metabolism,gold,8
SURF6,O75683,9606.ENSP00000361092,DSB,chromosome ,ribosomal small subunit biogenesis ,DNA binding ,Ribosome Biosynthesis,lightgreen,7
NUP155,O75694,9606.ENSP00000231498,HR,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Nuclear Pore,deepskyblue3,4
POP7,O75817,9606.ENSP00000304353,0,ribonuclease MRP complex,rRNA processing,ribonuclease P activity,RNA Metabolism,gold,8
ZMPSTE24,O75844,9606.ENSP00000361845,0,nuclear envelope ,nuclear envelope organization ,double-stranded DNA binding ,DNA Repair,firebrick1,3
ALDH1L1,O75891,9606.ENSP00000273450,HR,cytoplasm,NADPH regeneration,formyltetrahydrofolate dehydrogenase activity,DNA Repair,firebrick1,3
BCAS2,O75934,9606.ENSP00000358554,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",mRNA binding ,DNA Repair,firebrick1,3
RSL1D1,O76021,9606.ENSP00000460871,0,nucleolus ,regulation of apoptotic process ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
CLPX,O76031,9606.ENSP00000300107,0, endopeptidase Clp complex [GO:0009368],response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,3
MTA2,O94776,9606.ENSP00000278823,MMR,NuRD complex ,ATP-dependent chromatin remodeling ,histone deacetylase binding ,Chromatin Organization,darkviolet,2
TOX4,O94842,9606.ENSP00000477868,0,PTW/PP1 phosphatase complex ,"transcription, DNA-templated ",chromatin DNA binding ,Transcription Regulation,slateblue1,9
UFL1,O94874,9606.ENSP00000358283,DSB,site of double-strand break,histone modification,"GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0061666~UFM1 ligase activity,GO:0071568~UFM1 transferase activity,",Chromatin Organization,darkviolet,2
PRPF6,O94906,9606.ENSP00000266079,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,Transcription Regulation,slateblue1,9
GLS,O94925,9606.ENSP00000317379,0,cytosol ,glutamate homeostasis ,glutaminase activity ,DNA Repair,firebrick1,3
CEP152,O94986,9606.ENSP00000370337,0, centrosome [GO:0005813],cell cycle ,protein kinase binding ,Chromatin Organization,darkviolet,2
UBR5,O95071,9606.ENSP00000429084,NER,nucleoplasm ,double-strand break repair ,RNA binding ,DNA Repair,firebrick1,3
KIF20A,O95235,9606.ENSP00000378356,0,kinesin complex ,protein transport ,protein kinase binding ,Cell Cycle regulation,coral1,1
SMC2,O95347,9606.ENSP00000286398,0,condensin complex,positive regulation of chromosome condensation,chromatin binding,Chromatin Organization,darkviolet,2
NSA2,O95478,9606.ENSP00000483484,0,nucleolus ,rRNA processing ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
POLR1A,O95602,9606.ENSP00000263857,0,RNA polymerase I complex ,"transcription, DNA-templated ",chromatin binding ,Transcription Regulation,slateblue1,9
PTBP3,O95758,9606.ENSP00000414921,0,nucleus,RNA splicing,mRNA binding,RNA Metabolism,gold,8
AIFM1,O95831,9606.ENSP00000287295,0,nucleus,regulation of apoptotic DNA fragmentation,NADH dehydrogenase activity,Chromatin Organization,darkviolet,2
ACTL6A,O96019,9606.ENSP00000397552,0, SWI/SNF complex [GO:0016514],chromatin remodeling ,transcription coactivator activity ,Chromatin Organization,darkviolet,2
LDHA,P00338,9606.ENSP00000445175,0,nucleus ,positive regulation of apoptotic process ,NAD binding ,DNA Repair,firebrick1,3
GLUD1,P00367,9606.ENSP00000277865,HR,nucleus ,glutamate homeostasis ,glutamate dehydrogenase ,DNA Repair,firebrick1,3
MT-CO2,P00403,9606.ENSP00000354876,0,mitochondrial membrane,positive regulation of necrotic cell death,cytochrome-c oxidase activity,Cell Cycle regulation,coral1,1
EGFR,P00533,9606.ENSP00000275493,0, nuclear membrane [GO:0031965],positive regulation of protein kinase activity ,protein kinase binding ,Cell Cycle regulation,coral1,1
PGK1,P00558,9606.ENSP00000362413,0,membrane raft ,glycolytic process ,ATP binding ,DNA Repair,firebrick1,3
NRAS,P01111,9606.ENSP00000358548,0,membrane,MAPK cascade,GTPase activity,Cell Cycle regulation,coral1,1
LMNA,P02545,9606.ENSP00000357283,0, nuclear lamina [GO:0005652],nuclear envelope organization ,lamin binding ,Chromatin Organization,darkviolet,2
TFRC,P02786,9606.ENSP00000376197,0,nucleus ,positive regulation of NF-kappaB transcription factor activity ,protein kinase binding ,Transcription Regulation,slateblue1,9
LTF,P02788,9606.ENSP00000231751,0,nucleus ,positive regulation of NF-kappaB transcription factor activity ,DNA binding ,Chromatin Organization,darkviolet,2
ALDOA,P04075,9606.ENSP00000378669,0,nucleus ,glycolytic process ,RNA binding ,DNA Repair,firebrick1,3
TUBB4A,P04350,9606.ENSP00000264071,0,microtubule cytoskeleton,mitotic cell cycle,structural constituent of cytoskeleton,Cell Cycle regulation,coral1,1
GAPDH,P04406,9606.ENSP00000229239,DSB,GAIT complex ,protein stabilization ,NAD binding ,DNA Repair,firebrick1,3
HSPB1,P04792,9606.ENSP00000248553,0,nucleus,response to unfolded protein,unfolded protein binding,UPR,maroon,10
RPN1,P04843,9606.ENSP00000296255,DSB,oligosaccharyltransferase complex ,protein glycosylation ,RNA binding ,DNA Repair,firebrick1,3
RPN2,P04844,9606.ENSP00000237530,BER,oligosaccharyltransferase complex ,protein modification process ,ribosome binding ,DNA Repair,firebrick1,3
GNAI2,P04899,9606.ENSP00000312999,0, membrane raft [GO:0045121],cell cycle ,GTPase activity ,Cell Cycle regulation,coral1,1
ALDH2,P05091,9606.ENSP00000261733,0, mitochondrial matrix [GO:0005759],carbohydrate metabolic process,NAD binding ,DNA Repair,firebrick1,3
SLC25A5,P05141,9606.ENSP00000360671,DSB,MMXD complex ,chromosome segregation ,ubiquitin protein ligase binding ,DNA Repair,firebrick1,3
EIF2S1,P05198,9606.ENSP00000256383,0, eukaryotic translation initiation factor 2 complex [GO:0005850],translational initiation,RNA binding ,Ribosome Biosynthesis,lightgreen,7
RPLP0,P05388,9606.ENSP00000449328,DSB,ribonucleoprotein complex ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
KRT18,P05783,9606.ENSP00000373487,HR,nucleolus ,cell cycle ,RNA binding ,Cell Cycle regulation,coral1,1
CDK1,P06493,9606.ENSP00000378699,0,cyclin B1-CDK1 complex ,chromatin organization ,chromatin binding ,DNA Repair,firebrick1,3
S100A9,P06702,9606.ENSP00000357727,0, nucleoplasm [GO:0005654],apoptotic process,microtubule binding ,DNA Repair,firebrick1,3
ENO1,P06733,9606.ENSP00000495530,0, phosphopyruvate hydratase complex [GO:0000015],glycolytic process ,cadherin binding ,DNA Repair,firebrick1,3
GPI,P06744,9606.ENSP00000405573,0, ficolin-1-rich granule lumen [GO:1904813],glycolytic process ,ubiquitin ligase binding,p53 Pathway,tomato,5
NPM1,P06748,9606.ENSP00000296930,0,ribonucleoprotein complex ,chromatin organization ,chromatin binding ,DNA Repair,firebrick1,3
H2BC11,P06899,9606.ENSP00000476136,NHEJ,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,2
LDHB,P07195,9606.ENSP00000379386,0, oxidoreductase complex [GO:1990204],NAD metabolic process,NAD binding ,DNA Repair,firebrick1,3
CTSD,P07339,9606.ENSP00000236671,0,ficolin-1-rich granule lumen,proteolysis,peptidase activity,UPR,maroon,10
ANXA2,P07355,9606.ENSP00000346032,0,RNA polymerase II transcription regulator complex ,positive regulation of transcription from RNA polymerase II promoter ,RNA binding ,DNA Repair,firebrick1,3
CAPN1,P07384,9606.ENSP00000431984,0,cytoplasm,positive regulation of cell proliferation,peptidase activity,Cell Cycle regulation,coral1,1
TUBB,P07437,9606.ENSP00000339001,DSB,nuclear envelope ,microtubule cytoskeleton organization ,ubiquitin protein ligase binding ,Cell Cycle regulation,coral1,1
EPRS,P07814,9606.ENSP00000355890,0, GAIT complex [GO:0097452],RNA processing ,RNA binding ,Cell Cycle regulation,coral1,1
HSP90AA1,P07900,9606.ENSP00000335153,NER,nucleoplasm ,response to unfolded protein ,unfolded protein binding ,UPR,maroon,10
HNRNPC,P07910,9606.ENSP00000451291,HR,telomerase holoenzyme complex ,chromatin remodeling ,nucleosomal DNA binding ,Chromatin Organization,darkviolet,2
YES1,P07947,9606.ENSP00000462468,0,actin filament,protein phosphorylation,protein tyrosine kinase activity,Cell Cycle regulation,coral1,1
LYN,P07948,9606.ENSP00000428924,DSB,nucleus,protein phosphorylation,kinase activity,Cell Cycle regulation,coral1,1
FH,P07954,9606.ENSP00000355518,HR,site of double-strand break ,positive regulation of double-strand break repair via nonhomologous end joining ,histone binding ,DNA Repair,firebrick1,3
ANXA6,P08133,9606.ENSP00000346550,0,perinuclear region of cytoplasm,apoptotic signaling pathway,phosphatidylserine binding,Cell Cycle regulation,coral1,1
RHOC,P08134,9606.ENSP00000285735,0,nucleus,regulation of actin cytoskeleton organization,protein kinase binding,Cell Cycle regulation,coral1,1
SLC3A2,P08195,9606.ENSP00000367123,0,nucleoplasm,amino acid transport,~double-stranded RNA binding,UPR,maroon,10
HSP90AB1,P08238,9606.ENSP00000360609,NER,nucleoplasm ,response to unfolded protein ,unfolded protein binding ,Cell Cycle regulation,coral1,1
SRPR,P08240,9606.ENSP00000328023,0,signal recognition particle receptor complex ,protein targeting ,RNA binding ,UPR,maroon,10
PDHA1,P08559,9606.ENSP00000369134,0,pyruvate dehydrogenase complex,tricarboxylic acid cycle,pyruvate dehydrogenase (NAD+) activity,Cell Cycle regulation,coral1,1
VIM,P08670,9606.ENSP00000446007,0,ribonucleoprotein complex ,positive regulation of gene expression ,double-stranded RNA binding ,Chromatin Organization,darkviolet,2
RPS17,P08708,9606.ENSP00000346046,0,focal adhesion ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
GNAI3,P08754,9606.ENSP00000358867,0, heterotrimeric G-protein complex [GO:0005834],cell cycle ,GTPase activity ,Cell Cycle regulation,coral1,1
ANXA5,P08758,9606.ENSP00000296511,0, focal adhesion [GO:0005925],negative regulation of apoptotic process,phospholipid binding,Cell Cycle regulation,coral1,1
RPSA,P08865,9606.ENSP00000389351,DSB,nucleoplasm ,ribosome biogenesis ,structural constituent of ribosome ,Ribosome Biosynthesis,lightgreen,7
FGF2,P09038,9606.ENSP00000264498,0,nucleus,positive regulation of cell proliferation,fibroblast growth factor receptor binding,Cell Cycle regulation,coral1,1
GSTP1,P09211,9606.ENSP00000381607,0,nucleus,negative regulation of apoptotic process,glutathione transferase activity,Cell Cycle regulation,coral1,1
DLD,P09622,9606.ENSP00000205402,0,oxoglutarate dehydrogenase complex ,2-oxoglutarate metabolic process ,NAD binding ,Chromatin Organization,darkviolet,2
HNRNPA1,P09651,9606.ENSP00000341826,0,spliceosomal complex ,"mRNA splicing, via spliceosome ",single-stranded DNA binding ,Nuclear Pore,deepskyblue3,4
SNRPA1,P09661,9606.ENSP00000254193,MMR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA binding ,DNA Repair,firebrick1,3
PARP1,P09874,9606.ENSP00000355759,HR,site of DNA damage ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
ALDOC,P09972,9606.ENSP00000378731,0,cytosol,gluconeogenesis,fructose-bisphosphate aldolase activity,Transcription Regulation,slateblue1,9
HSPA1B,P0DMV8,9606.ENSP00000364801,HR,centrosome ,response to unfolded protein ,unfolded protein binding ,UPR,darkviolet,2
H1-4,P10412,9606.ENSP00000307705,0,nucleosome,nucleosome assembly,structural constituent of chromatin,Chromatin Organization,darkviolet,2
MAPT,P10636,9606.ENSP00000340820,0,tubulin complex ,microtubule cytoskeleton organization ,DNA binding ,DNA Repair,firebrick1,3
HSPD1,P10809,9606.ENSP00000373620,0,clathrin-coated pit ,response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,3
HSPA5,P11021,9606.ENSP00000324173,0,nucleus ,response to unfolded protein ,unfolded protein binding ,Chromatin Organization,darkviolet,2
HSPA8,P11142,9606.ENSP00000432083,NER,spliceosomal complex ,"mRNA splicing, via spliceosome ",unfolded protein binding ,Cell Cycle regulation,coral1,1
PDHB,P11177,9606.ENSP00000307241,0,pyruvate dehydrogenase complex,acetyl-CoA biosynthetic process from pyruvate,pyruvate dehydrogenase (NAD+) activity,Chromatin Organization,darkviolet,2
RALA,P11233,9606.ENSP00000005257,0,cleavage furrow,cell cycle,ubiquitin protein ligase binding,Cell Cycle regulation,coral1,1
TOP1,P11387,9606.ENSP00000354522,0,"GO:0000228~nuclear chromosome,GO:0000932~P-body,GO:0001650~fibrillar center,GO:0001673~male germ cell nucleus,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005730~nucleolus,GO:0032993~protein-DNA complex,GO:0043204~perikaryon,","GO:0006260~DNA replication,GO:0006265~DNA topological change,GO:0006338~chromatin remodeling,GO:0007059~chromosome segregation,GO:0007623~circadian rhythm,GO:0009410~response to xenobiotic stimulus,GO:0012501~programmed cell death,GO:0016310~phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0032922~circadian regulation of gene expression,GO:0040016~embryonic cleavage,","GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003690~double-stranded DNA binding,GO:0003697~single-stranded DNA binding,GO:0003723~RNA binding,GO:0003917~DNA topoisomerase type I activity,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008301~DNA binding, bending,GO:0019904~protein domain specific binding,GO:0097100~supercoiled DNA binding,",Chromatin Organization,darkviolet,2
MTHFD1,P11586,9606.ENSP00000216605,0,cytosol ,purine nucleotide biosynthetic process ,methylenetetrahydrofolate dehydrogenase activity ,Chromatin Organization,darkviolet,2
PABPC1,P11940,9606.ENSP00000313007,HR,mCRD-mediated mRNA stability complex ,"mRNA splicing, via spliceosome ",mRNA binding ,RNA Metabolism,gold,8
PCNA,P12004,9606.ENSP00000368458,HR, PCNA complex [GO:0043626],DNA repair ,damaged DNA binding ,DNA Repair,firebrick1,3
IMPDH2,P12268,9606.ENSP00000321584,0,nucleus ,cellular response to interleukin-4 ,DNA binding ,Cell Cycle regulation,coral1,1
TPR,P12270,9606.ENSP00000356448,DSB,nuclear pore ,nucleocytoplasmic transport ,structural constituent of nuclear pore ,Cell Cycle regulation,coral1,1
ACTN1,P12814,9606.ENSP00000377941,0, cortical actin cytoskeleton [GO:0030864],actin filament capping ,actin filament organization ,Transcription Regulation,slateblue1,9
XRCC6,P12956,9606.ENSP00000352257,NHEJ,Ku70:Ku80 complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
XRCC5,P13010,9606.ENSP00000375978,NHEJ,Ku70:Ku80 complex ,double-strand break repair ,damaged DNA binding ,DNA Repair,firebrick1,3
UNG,P13051,9606.ENSP00000242576,BER,nucleus,base-excision repair,uracil DNA N-glycosylase activity,DNA Repair,firebrick1,3
EEF2,P13639,9606.ENSP00000307940,0,ribonucleoprotein complex ,cellular response to brain-derived neurotrophic factor stimulus ,RNA binding ,Ribosome Biosynthesis,lightgreen,7
PDIA4,P13667,9606.ENSP00000499129,0,endoplasmic reticulum,protein folding,protein disulfide isomerase activity,UPR,maroon,10
TPT1,P13693,9606.ENSP00000477781,DSB,nucleoplasm ,regulation of apoptotic process ,RNA binding ,DNA Repair,firebrick1,3
PRKAR2A,P13861,9606.ENSP00000265563,0,cAMP-dependent protein kinase complex ,regulation of protein kinase A  signaling ,ubiquitin protein ligase binding ,Chromatin Organization,darkviolet,2
PKM,P14618,9606.ENSP00000320171,0, nucleus [GO:0005634],glycolytic process ,protein kinase binding ,DNA Repair,firebrick1,3
HSP90B1,P14625,9606.ENSP00000299767,0,nucleus ,response to unfolded protein ,unfolded protein binding ,DNA Repair,firebrick1,3
