NAME,UniprotID,SensorID_Presence,CellCompartment,ProteinName,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,An.color,An.number,Annotation,Sirt6ID_IR2h,Ku80ID_IR2h,Mre11ID_IR2h,Sirt6_shScr.logFC,Sirt6_shNcl.logFC,Sirt6_DiffBound.logFC,Ku80ID_shScr.logFC,Ku80ID_shNcl.logFC,Ku80ID_DiffBound.logFC,Mre11_shScr.logFC,Mre11_shNcl.logFC,Mre11_DiffBound.logFC,Sirt6_shScr.Treatment,Sirt6_shNcl.Treatment,Sirt6_DiffBound.Treatment,Ku80ID_shScr.Treatment,Ku80ID_shNcl.Treatment,Ku80ID_DiffBound.Treatment,Mre11_shScr.Treatment,Mre11_shNcl.Treatment,Mre11_DiffBound.Treatment,Sirt6_shScr.T.Test,Sirt6_shNcl.T.Test,Sirt6_DiffBound.T.Test,Ku80ID_shScr.T.Test,Ku80ID_shNcl.T.Test,Ku80ID_DiffBound.T.Test,Mre11_shScr.T.Test,Mre11_shNcl.T.Test,Mre11_DiffBound.T.Test,Sirt6ID_Presence,Ku80_Prescence,Mre11_Prescence,Sirt6_shScr.p.mod,Sirt6_shScr.q.ord,Sirt6_shScr.q.mod,Sirt6_shNcl.p.mod,Sirt6_shNcl.q.ord,Sirt6_shNcl.q.mod,Sirt6_DiffBound.p.mod,Sirt6_DiffBound.q.ord,Sirt6_DiffBound.q.mod,Ku80ID_shScr.p.mod,Ku80ID_shScr.q.ord,Ku80ID_shScr.q.mod,Ku80ID_shNcl.p.mod,Ku80ID_shNcl.q.ord,Ku80ID_shNcl.q.mod,Ku80ID_DiffBound.p.mod,Ku80ID_DiffBound.q.ord,Ku80ID_DiffBound.q.mod,Mre11_shScr.p.mod,Mre11_shScr.q.ord,Mre11_shScr.q.mod,Mre11_shNcl.p.mod,Mre11_shNcl.q.ord,Mre11_shNcl.q.mod,Mre11_DiffBound.p.mod,Mre11_DiffBound.q.ord,Mre11_DiffBound.q.mod,Time.Point,Order
BUB3,O43684,BUB3,Nucleoplasm,BUB3 mitotic checkpoint protein,DSB,bub1-bub3 complex ,cell division ,ubiquitin binding ,9606.ENSP00000357858,coral1,1,Cell Cycle regulation,O43684,O43684,0,6.277777778,6.239777778,0,5.944444444,2.267833333,-2.985333333,5.584777778,6.336444444,0,shScramble,shNcl,0,shScramble,shNcl,shScramble,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.013815658,0.003011687,0.001756828,0.011383541,0.016275922,0.007843118,0,0,0,0.021082753,0.002628225,0.002633911,0.378172062,0.006779337,0.004619477,0.037167881,0.035682187,0.036975743,0.019690293,0.014278056,0.008601596,0.011637262,0.004760928,0.00221057,0,0,0,IR2h,3
KPNB1,Q14974,KPNB1,Nucleoplasm/NuclearMem,Karyopherin subunit beta 1,0,nuclear pore ,nucleocytoplasmic transport ,RNA binding ,9606.ENSP00000290158,coral1,1,Cell Cycle regulation,Q14974,Q14974,0,7.060222222,8.616222222,0,7.086555556,5.903,0,5.343888889,7.835222222,2.491333333,shScramble,shNcl,0,shScramble,shNcl,0,shScramble,shNcl,shNcl,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,shNcl_vs_shScr,Sirt6,Ku80,Mre11ID,0.004025971,0.001274942,0.000651799,0.000593574,0.003469685,0.001018878,0,0,0,0.003607244,0.001525334,0.000968039,0.038827368,0.006779337,0.004619477,0,0,0,0.014471805,0.013453822,0.006912512,0.001506914,0.001254538,0.000574357,0.046012943,0.137483264,0.401048439,IR2h,3
ANXA11,P50995,ANXA11,Nucleoplasm,Annexin A11,0,nuclear envelope,cytokinetic process,calcium ion binding,9606.ENSP00000398610,coral1,1,Cell Cycle regulation,0,0,0,6.291777778,6.757777778,0,1.931444444,0,0,0,4.082777778,0,shScramble,shNcl,0,shScramble,0,0,0,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,0,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.004349854,0.001323482,0.000688346,0.001110557,0.004366305,0.00156541,0,0,0,0.353339033,0.018988881,0.016899689,0,0,0,0,0,0,0,0,0,0.028854557,0.00835607,0.004602577,0,0,0,IR2h,3
ATP2C1,P98194,ATP2C1,Nucleoplasm,Calcium-transporting ATPase type 2C member 1 ,0,endoplasmic reticulum,calcium ion transport,calcium-transporting ATPase activity,9606.ENSP00000421326,coral1,1,Cell Cycle regulation,0,0,P98194,0,3.992444444,7.746333333,3.561777778,1.982,0,0,5.551444444,0,0,shNcl,shNcl,shScramble,shNcl,0,0,shNcl,0,0,shNcl_vs_Cneg,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,0.004633364,0.007488637,0.004032709,0.005495952,0.114808987,0.045636131,0.001903884,0.001248379,0.000729002,0.120694028,0.006779337,0.004619477,0,0,0,0,0,0,0.001330384,0.001176082,0.000574357,0,0,0,IR2h,3
CFL1,P23528,CFL1,Nucleoplasm,Cofilin-1 ,0,nuclear matrix ,negative regulation of apoptotic process ,actin filament binding ,9606.ENSP00000432660,coral1,1,Cell Cycle regulation,0,P23528,0,4.890222222,0,0,5.996555556,2.641666667,0,5.311222222,5.384888889,0,shScramble,0,0,shScramble,shNcl,0,shScramble,shNcl,0,shScr_vs_Cneg,0,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.01967074,0.003834184,0.002380824,0,0,0,0,0,0,0.006538609,0.001525334,0.001486485,0.341727868,0.006779337,0.004619477,0,0,0,0.011257003,0.011653301,0.005733402,0.010232521,0.004282618,0.00200185,0,0,0,IR2h,3
DHCR7,Q9UBM7,DHCR7,Nucleoplasm,7-dehydrocholesterol reductase ,0,endoplasmic reticulum,cholesterol biosynthetic process,NADP binding,9606.ENSP00000347717,coral1,1,Cell Cycle regulation,0,0,Q9UBM7,5.457222222,6.398888889,0,6.941555556,3.7195,0,5.726222222,7.176555556,0,shScramble,shNcl,0,shScramble,shNcl,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.027761051,0.005044218,0.003200023,0.009582559,0.014475119,0.006885501,0,0,0,0.00831597,0.001525334,0.001804163,0.162043165,0.006779337,0.004619477,0,0,0,0.017525426,0.014278056,0.00781852,0.005846025,0.003074894,0.001289738,0,0,0,IR2h,3
EPB41L2,O43491,EPB41L2,Nucleoplasm,Erythrocyte membrane protein band 4.1 like 2,0,nucleoplasm,cell cycle,structural molecule activity,9606.ENSP00000357110,coral1,1,Cell Cycle regulation,0,0,0,6.862333333,0,0,6.767666667,0,-7.795666667,5.316666667,5.185333333,0,shScramble,0,0,shScramble,0,shScramble,shScramble,shNcl,0,shScr_vs_Cneg,0,0,shScr_vs_Cneg,0,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.002094369,0.000837942,0.000398732,0,0,0,0,0,0,0.002462708,0.001444163,0.000778961,0,0,0,9.23003E-05,0.005929446,0.001179774,0.008612937,0.010154448,0.004905556,0.010255722,0.004265441,0.00200185,0,0,0,IR2h,3
DNM2,P50570,DNM2,Nucleoplasm,Dynamin-2 ,NER,centrosome ,"transcription, DNA-templated ",protein kinase binding ,9606.ENSP00000373905,coral1,1,Cell Cycle regulation,P50570,0,0,0,4.147444444,0,5.118444444,0,-5.008,0,3.891444444,0,0,shNcl,0,shScramble,0,shScramble,0,shNcl,0,0,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,shNcl_vs_shScr,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,0.001838124,0.004341763,0.002221422,0,0,0,2.49703E-07,1.60316E-06,1.46784E-06,0,0,0,0.000981479,0.016367281,0.004580309,0,0,0,0.001757719,0.001176082,0.000580152,0,0,0,IR2h,3
CCAR1,Q8IX12,CCAR1,Nucleoplasm,Cell division cycle and apoptosis regulator 1,NER,nuclear envelope lumen ,"transcription, DNA-templated ",transcription corepressor activity ,9606.ENSP00000265872,coral1,1,Cell Cycle regulation,0,Q8IX12,0,7.296333333,7.475333333,0,6.626,0,-7.600333333,6.264333333,0,-6.378,shScramble,shNcl,0,shScramble,0,shScramble,shScramble,0,shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,shNcl_vs_shScr,shScr_vs_Cneg,0,shNcl_vs_shScr,Sirt6,Ku80,Mre11ID,0.000866349,0.000492558,0.000213548,0.000601711,0.003306675,0.001027404,0,0,0,0.002144166,0.001360981,0.000739555,0,0,0,0.0001742,0.008410226,0.001550271,0.002111381,0.005186223,0.002240603,0,0,0,0.009375919,0.37605374,0.401048439,IR2h,3
IMPDH2,P12268,IMPDH2,Nucleoplasm,Inosine-5'-monophosphate dehydrogenase 2 ,0,nucleus ,cellular response to interleukin-4 ,DNA binding ,9606.ENSP00000321584,coral1,1,Cell Cycle regulation,0,P12268,P12268,3.891555556,6.441222222,0,2.143555556,0,0,2.907555556,3.493222222,0,shScramble,shNcl,0,shScramble,0,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.002027429,0.000717667,0.000390048,1.17259E-05,0.00022272,7.54215E-05,0,0,0,0.069252788,0.00520275,0.004166151,0,0,0,0,0,0,0.032537724,0.014278056,0.012282167,0.018516084,0.005970514,0.003284601,0,0,0,IR2h,3
FLII,Q13045,FLII,Nucleoplasm,FLII actin remodeling protein,0,nucleus,actin cytoskeleton organization,actin binding,9606.ENSP00000324573,coral1,1,Cell Cycle regulation,0,0,Q13045,4.975555556,3.758555556,0,1.932222222,0,0,0,3.366888889,0,shScramble,shNcl,0,shScramble,0,0,0,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,0,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.000895212,0.00045575,0.000218545,0.003528164,0.006042611,0.003433153,0,0,0,0.191089113,0.011229854,0.00953865,0,0,0,0,0,0,0,0,0,0.029792811,0.00821369,0.004712534,0,0,0,IR2h,3
VDAC1,P21796,VDAC1,Nucleoplasm,Non-selective voltage-gated ion channel VDAC1 ,0,nucleus,apoptotic process,porin activity,9606.ENSP00000378487,coral1,1,Cell Cycle regulation,0,0,0,6.539666667,9.119666667,0,7.732666667,3.174666667,0,5.011333333,7.181,0,shScramble,shNcl,0,shScramble,shNcl,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.008861666,0.002190434,0.001221597,0.000828248,0.004211395,0.001271592,0,0,0,0.003025842,0.001525334,0.00086972,0.325945661,0.006779337,0.004619477,0,0,0,0.028765354,0.014278056,0.011393456,0.005074276,0.002824177,0.001149813,0,0,0,IR2h,3
GNAI2,P04899,GNAI2,Nucleoplasm,G protein subunit alpha i2,0, membrane raft [GO:0045121],cell cycle ,GTPase activity ,9606.ENSP00000312999,coral1,1,Cell Cycle regulation,0,0,0,0,5.422222222,0,5.744555556,3.003666667,0,0,5.257888889,0,0,shNcl,0,shScramble,shNcl,0,0,shNcl,0,0,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,0.022306609,0.02150793,0.013595306,0,0,0,0.020627792,0.002582953,0.002633911,0.164727431,0.006779337,0.004619477,0,0,0,0,0,0,0.028692439,0.008603606,0.004585964,0,0,0,IR2h,3
GSTP1,P09211,GSTP1,Nucleoplasm,Glutathione S-transferase P ,0,nucleus,negative regulation of apoptotic process,glutathione transferase activity,9606.ENSP00000381607,coral1,1,Cell Cycle regulation,0,0,P09211,0,4.028444444,9.068333333,0,3.790333333,6.676333333,0,3.635777778,0,0,shNcl,shNcl,0,shNcl,shNcl,0,shNcl,0,0,shNcl_vs_Cneg,shNcl_vs_shScr,0,shNcl_vs_Cneg,shNcl_vs_shScr,0,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,0.017278996,0.019279534,0.011004939,3.3448E-05,0.013490966,0.003695829,0,0,0,0.162089572,0.006779337,0.004619477,0.032392303,0.035682187,0.036975743,0,0,0,0.032135557,0.00887551,0.004999922,0,0,0,IR2h,3
MCM2,P49736,MCM2,Nucleoplasm,Minichromosome maintenance complex component 2,0, MCM complex [GO:0042555],DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000265056,coral1,1,Cell Cycle regulation,0,P49736,P49736,0,6.527555556,0,0,2.900666667,0,4.309888889,4.597555556,0,0,shNcl,0,0,shNcl,0,shScramble,shNcl,0,0,shNcl_vs_Cneg,0,0,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,2.11505E-05,0.000367845,0.000112097,0,0,0,0,0,0,0.110070038,0.006779337,0.004619477,0,0,0,0.003533516,0.005549383,0.002860072,0.011764662,0.004544611,0.002229417,0,0,0,IR2h,3
MCM4,P33991,MCM4,Nucleoplasm,Minichromosome maintenance complex component 4,DSB,MCM complex,DNA replication,DNA helicase activity,9606.ENSP00000262105,coral1,1,Cell Cycle regulation,0,0,P33991,5.367,4.869,0,3.326333333,0,0,5.756666667,4.752,0,shScramble,shNcl,0,shScramble,0,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,0,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.001320913,0.0006129,0.000292473,0.002143202,0.005409673,0.002460777,0,0,0,0.061131258,0.005022299,0.003752549,0,0,0,0,0,0,0.000725173,0.003980362,0.001410443,0.00284196,0.001677927,0.000728134,0,0,0,IR2h,3
MCM5,P33992,MCM5,Nucleoplasm,Minichromosome maintenance complex component 5,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000216122,coral1,1,Cell Cycle regulation,P33992,P33992,P33992,6.222777778,7.281777778,0,5.943444444,2.819166667,0,6.213111111,7.456111111,0,shScramble,shNcl,0,shScramble,shNcl,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.00202827,0.000810775,0.000390048,0.000480091,0.002883153,0.000898473,0,0,0,0.003031054,0.001525334,0.00086972,0.257536938,0.006779337,0.004619477,0,0,0,0.002095534,0.005186223,0.002240603,0.000465154,0.000996986,0.000306679,0,0,0,IR2h,3
TUBB,P07437,TUBB,Nucleoplasm,Tubulin beta chain ,DSB,nuclear envelope ,microtubule cytoskeleton organization ,ubiquitin protein ligase binding ,9606.ENSP00000339001,coral1,1,Cell Cycle regulation,0,P07437,0,0,5.64,0,6.521333333,6.399666667,0,5.986333333,6.838333333,0,0,shNcl,0,shScramble,shNcl,0,shScramble,shNcl,0,0,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0,0,0,0.019230573,0.02150793,0.011985163,0,0,0,0.011268978,0.001670543,0.002299346,0.032309365,0.006779337,0.004588483,0,0,0,0.015223715,0.014148198,0.007180197,0.007628037,0.00362632,0.001581087,0,0,0,IR2h,3
MCM7,P33993,MCM7,Nucleoplasm,Minichromosome maintenance complex component 7,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000307288,coral1,1,Cell Cycle regulation,P33993,P33993,P33993,5.615333333,7.708666667,2.093333333,5.359666667,2.774,0,6.472,7.898666667,0,shScramble,shNcl,shNcl,shScramble,shNcl,0,shScramble,shNcl,0,shScr_vs_Cneg,shNcl_vs_Cneg,shNcl_vs_shScr,shScr_vs_Cneg,shNcl_vs_Cneg,0,shScr_vs_Cneg,shNcl_vs_Cneg,0,Sirt6,Ku80,Mre11ID,0.00421147,0.001275302,0.000670485,0.000276758,0.002238378,0.000634436,0.07382174,0.101712084,0.14224541,0.006469865,0.001525334,0.001473571,0.269492176,0.006779337,0.004619477,0,0,0,0.001544377,0.004632502,0.001985406,0.000301259,0.000812657,0.00023733,0,0,0,IR2h,3
