NAME,UniprotID,ProteinName,CellCompartment,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,Annotation,An.color,An.number,shScr.logFC,shNcl.logFC,shScr.Presence,shNcl.Presence,Time.Point,Order,Sensor
PPP1CB,P62140,Protein phosphatase 1 catalytic subunit beta,Nucleoplasm,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000378769,Cell Cycle regulation,coral1,1,0,6.004888889,0,shNcl,IR2h,3,Mre11ID
BUB3,O43684,BUB3 mitotic checkpoint protein,Nucleoplasm,DSB,bub1-bub3 complex ,cell division ,ubiquitin binding ,9606.ENSP00000357858,Cell Cycle regulation,coral1,1,5.584777778,6.336444444,shScramble,shNcl,IR2h,3,Mre11ID
KPNB1,Q14974,Karyopherin subunit beta 1,Nucleoplasm/NuclearMem,0,nuclear pore ,nucleocytoplasmic transport ,RNA binding ,9606.ENSP00000290158,Cell Cycle regulation,coral1,1,5.343888889,7.835222222,shScramble,shNcl,IR2h,3,Mre11ID
ANXA11,P50995,Annexin A11,Nucleoplasm,0,nuclear envelope,cytokinetic process,calcium ion binding,9606.ENSP00000398610,Cell Cycle regulation,coral1,1,0,4.082777778,0,shNcl,IR2h,3,Mre11ID
JAK1,P23458,Tyrosine-protein kinase JAK1 ,Nucleus_1,0,cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endosome [GO:0005768]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886],cell differentiation [GO:0030154]; cell surface receptor signaling pathway via JAK-STAT [GO:0007259]; cellular response to virus [GO:0098586]; cytokine-mediated signaling pathway [GO:0019221]; growth hormone receptor signaling pathway via JAK-STAT [GO:0060397]; interleukin-10-mediated signaling pathway [GO:0140105]; interleukin-11-mediated signaling pathway [GO:0038154]; interleukin-15-mediated signaling pathway [GO:0035723]; interleukin-2-mediated signaling pathway [GO:0038110]; interleukin-4-mediated signaling pathway [GO:0035771]; interleukin-6-mediated signaling pathway [GO:0070102]; interleukin-7-mediated signaling pathway [GO:0038111]; interleukin-9-mediated signaling pathway [GO:0038113]; intracellular signal transduction [GO:0035556]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of sprouting angiogenesis [GO:1903672]; protein localization to cell-cell junction [GO:0150105]; protein phosphorylation [GO:0006468]; response to antibiotic [GO:0046677]; T-helper 17 cell lineage commitment [GO:0072540]; type I interferon-mediated signaling pathway [GO:0060337]; type II interferon-mediated signaling pathway [GO:0060333]; type III interferon-mediated signaling pathway [GO:0038196],ATP binding [GO:0005524]; CCR5 chemokine receptor binding [GO:0031730]; growth hormone receptor binding [GO:0005131]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; ubiquitin protein ligase binding [GO:0031625],9606.ENSP00000499900,Cell Cycle regulation,coral1,1,0,3.587777778,0,shNcl,IR2h,3,Mre11ID
ATP2C1,P98194,Calcium-transporting ATPase type 2C member 1 ,Nucleoplasm,0,endoplasmic reticulum,calcium ion transport,calcium-transporting ATPase activity,9606.ENSP00000421326,Cell Cycle regulation,coral1,1,0,5.551444444,0,shNcl,IR2h,3,Mre11ID
CFL1,P23528,Cofilin-1 ,Nucleoplasm,0,nuclear matrix ,negative regulation of apoptotic process ,actin filament binding ,9606.ENSP00000432660,Cell Cycle regulation,coral1,1,5.311222222,5.384888889,shScramble,shNcl,IR2h,3,Mre11ID
DHCR7,Q9UBM7,7-dehydrocholesterol reductase ,Nucleoplasm,0,endoplasmic reticulum,cholesterol biosynthetic process,NADP binding,9606.ENSP00000347717,Cell Cycle regulation,coral1,1,5.726222222,7.176555556,shScramble,shNcl,IR2h,3,Mre11ID
EPB41L2,O43491,Erythrocyte membrane protein band 4.1 like 2,Nucleoplasm,0,nucleoplasm,cell cycle,structural molecule activity,9606.ENSP00000357110,Cell Cycle regulation,coral1,1,5.316666667,5.185333333,shScramble,shNcl,IR2h,3,Mre11ID
CSNK2A3,Q8NEV1,Casein kinase 2 alpha 3,Nucleoplasm,0,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein kinase CK2 complex [GO:0005956],positive regulation of cell growth [GO:0030307]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of protein catabolic process [GO:0045732]; protein phosphorylation [GO:0006468]; regulation of cell cycle [GO:0051726],"Kinase, Serine/threonine-protein kinase, Transferase",9606.ENSP00000473553,Cell Cycle regulation,coral1,1,0,3.935444444,0,shNcl,IR2h,3,Mre11ID
HADH,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial ",Nucleoplasm,0,nucleoplasm,fatty acid beta-oxidation,3-hydroxyacyl-CoA dehydrogenase activit,9606.ENSP00000474560,Cell Cycle regulation,coral1,1,6.576777778,5.778777778,shScramble,shNcl,IR2h,3,Mre11ID
DNM2,P50570,Dynamin-2 ,Nucleoplasm,NER,centrosome ,"transcription, DNA-templated ",protein kinase binding ,9606.ENSP00000373905,Cell Cycle regulation,coral1,1,0,3.891444444,0,shNcl,IR2h,3,Mre11ID
IMPDH2,P12268,Inosine-5'-monophosphate dehydrogenase 2 ,Nucleoplasm,0,nucleus ,cellular response to interleukin-4 ,DNA binding ,9606.ENSP00000321584,Cell Cycle regulation,coral1,1,2.907555556,3.493222222,shScramble,shNcl,IR2h,3,Mre11ID
FLII,Q13045,FLII actin remodeling protein,Nucleoplasm,0,nucleus,actin cytoskeleton organization,actin binding,9606.ENSP00000324573,Cell Cycle regulation,coral1,1,0,3.366888889,0,shNcl,IR2h,3,Mre11ID
KIF3B,O15066,Kinesin family member 3B,Nucleoplasm,0,axon cytoplasm [GO:1904115]; centrosome [GO:0005813]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendrite cytoplasm [GO:0032839]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; kinesin complex [GO:0005871]; kinesin II complex [GO:0016939]; membrane [GO:0016020]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; plus-end kinesin complex [GO:0005873],anterograde axonal transport [GO:0008089]; anterograde dendritic transport of neurotransmitter receptor complex [GO:0098971]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; intraciliary transport [GO:0042073]; microtubule-based movement [GO:0007018]; mitotic centrosome separation [GO:0007100]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; opsin transport [GO:0036372]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]; vesicle-mediated transport [GO:0016192],Motor protein,9606.ENSP00000364864,Cell Cycle regulation,coral1,1,3.940111111,5.870111111,shScramble,shNcl,IR2h,3,Mre11ID
GNAI2,P04899,G protein subunit alpha i2,Nucleoplasm,0, membrane raft [GO:0045121],cell cycle ,GTPase activity ,9606.ENSP00000312999,Cell Cycle regulation,coral1,1,0,5.257888889,0,shNcl,IR2h,3,Mre11ID
LASP1,Q14847,LIM and SH3 domain protein 1 ,Nucleoplasm,0,cytoskeleton,ion transmembrane transport,actin filament binding,9606.ENSP00000325240,Cell Cycle regulation,coral1,1,4.676222222,3.765222222,shScramble,shNcl,IR2h,3,Mre11ID
GSTP1,P09211,Glutathione S-transferase P ,Nucleoplasm,0,nucleus,negative regulation of apoptotic process,glutathione transferase activity,9606.ENSP00000381607,Cell Cycle regulation,coral1,1,0,3.635777778,0,shNcl,IR2h,3,Mre11ID
MCM2,P49736,Minichromosome maintenance complex component 2,Nucleoplasm,0, MCM complex [GO:0042555],DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000265056,Cell Cycle regulation,coral1,1,4.309888889,4.597555556,shScramble,shNcl,IR2h,3,Mre11ID
ITPRIP,Q8IWB1,"Inositol 1,4,5-trisphosphate receptor-interacting protein ",Nucleoplasm,0,nuclear outer membrane,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,protein kinase inhibitor activity,9606.ENSP00000278071,Cell Cycle regulation,coral1,1,0,3.151777778,0,shNcl,IR2h,3,Mre11ID
MCM4,P33991,Minichromosome maintenance complex component 4,Nucleoplasm,DSB,MCM complex,DNA replication,DNA helicase activity,9606.ENSP00000262105,Cell Cycle regulation,coral1,1,5.756666667,4.752,shScramble,shNcl,IR2h,3,Mre11ID
MCM5,P33992,Minichromosome maintenance complex component 5,Nucleoplasm,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000216122,Cell Cycle regulation,coral1,1,6.213111111,7.456111111,shScramble,shNcl,IR2h,3,Mre11ID
MCM7,P33993,Minichromosome maintenance complex component 7,Nucleoplasm,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000307288,Cell Cycle regulation,coral1,1,6.472,7.898666667,shScramble,shNcl,IR2h,3,Mre11ID
MTCH2,Q9Y6C9,Mitochondrial carrier homolog 2 ,Nucleoplasm,0,nucleus,positive regulation of apoptotic process,membrane insertase activity,9606.ENSP00000303222,Cell Cycle regulation,coral1,1,7.029555556,9.064555556,shScramble,shNcl,IR2h,3,Mre11ID
NFS1,Q9Y697,NFS1 cysteine desulfurase,Nucleoplasm,0,nucleus,iron incorporation into metallo-sulfur cluster,iron-sulfur cluster binding,9606.ENSP00000363205,Cell Cycle regulation,coral1,1,6.026777778,4.103111111,shScramble,shNcl,IR2h,3,Mre11ID
MT-CO2,P00403,Cytochrome c oxidase subunit 2 ,Nucleoplasm,0,mitochondrial membrane,positive regulation of necrotic cell death,cytochrome-c oxidase activity,9606.ENSP00000354876,Cell Cycle regulation,coral1,1,0,4.304666667,0,shNcl,IR2h,3,Mre11ID
NMT1,P30419,Glycylpeptide N-tetradecanoyltransferase 1 ,Nucleoplasm,0,cytoplasm ,N-terminal protein myristoylation ,myristoyltransferase activity ,9606.ENSP00000468424,Cell Cycle regulation,coral1,1,4.549555556,5.379888889,shScramble,shNcl,IR2h,3,Mre11ID
OPA1,O60313,OPA1 mitochondrial dynamin like GTPase,Nucleoplasm,0,nucleoplasm,apoptotic process,GTPase activity,9606.ENSP00000354681,Cell Cycle regulation,coral1,1,4.360333333,8.717,shScramble,shNcl,IR2h,3,Mre11ID
PDHA1,P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial ",Nucleoplasm,0,pyruvate dehydrogenase complex,tricarboxylic acid cycle,pyruvate dehydrogenase (NAD+) activity,9606.ENSP00000369134,Cell Cycle regulation,coral1,1,6.210555556,7.802555556,shScramble,shNcl,IR2h,3,Mre11ID
PPP1CA,P62136,Protein phosphatase 1 catalytic subunit alpha,Nucleoplasm,ForkStall,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000326031,Cell Cycle regulation,coral1,1,6.277111111,7.883111111,shScramble,shNcl,IR2h,3,Mre11ID
RAB5A,P20339,"RAB5A, member RAS oncogene family",Nucleoplasm,0,actin cytoskeleton,intracellular protein transport,GTPase activity,9606.ENSP00000273047,Cell Cycle regulation,coral1,1,5.871444444,6.884111111,shScramble,shNcl,IR2h,3,Mre11ID
RACK1,P63244,Receptor for activated C kinase 1,Nucleoplasm,DSB,IRE1-RACK1-PP2A complex ,cell cycle ,RNA binding ,9606.ENSP00000426909,Cell Cycle regulation,coral1,1,6.059888889,6.593222222,shScramble,shNcl,IR2h,3,Mre11ID
PPP1CC,P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit ,Nucleoplasm,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000341779,Cell Cycle regulation,coral1,1,0,6.201222222,0,shNcl,IR2h,3,Mre11ID
RALA,P11233,Ras-related protein Ral-A ,Nucleoplasm,0,cleavage furrow,cell cycle,ubiquitin protein ligase binding,9606.ENSP00000005257,Cell Cycle regulation,coral1,1,5.569666667,7.286666667,shScramble,shNcl,IR2h,3,Mre11ID
RCC2,Q9P258,Protein RCC2 ,Nucleoplasm,0,"chromosome, centromeric core domain ",cell cycle ,protein kinase binding ,9606.ENSP00000364585,Cell Cycle regulation,coral1,1,5.685111111,5.791444444,shScramble,shNcl,IR2h,3,Mre11ID
RHOA,P61586,Transforming protein RhoA ,Nucleoplasm,HR,nucleus,regulation of actin cytoskeleton organization,protein kinase binding,9606.ENSP00000400175,Cell Cycle regulation,coral1,1,7.011,5.808333333,shScramble,shNcl,IR2h,3,Mre11ID
RPS6,P62753,Small ribosomal subunit protein eS6 ,Nucleoplasm,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,9606.ENSP00000369757,Cell Cycle regulation,coral1,1,6.546444444,8.218777778,shScramble,shNcl,IR2h,3,Mre11ID
SEPT2,Q15019,Septin-2 ,Nucleoplasm,0,septin complex ,cell cycle ,GTPase activity ,9606.ENSP00000479861,Cell Cycle regulation,coral1,1,6.245111111,7.063444444,shScramble,shNcl,IR2h,3,Mre11ID
SCRIB,Q14160,Scribble planar cell polarity protein,Nucleoplasm,BER,Scrib-APC-beta-catenin complex ,"transcription, DNA-templated ",cadherin binding ,9606.ENSP00000349486,Cell Cycle regulation,coral1,1,0,4.801111111,0,shNcl,IR2h,3,Mre11ID
SEPT7,Q16181,Septin-7 ,Nucleoplasm,0,kinetochore ,cell cycle ,GTPase activity ,9606.ENSP00000413507,Cell Cycle regulation,coral1,1,6.384444444,7.594777778,shScramble,shNcl,IR2h,3,Mre11ID
SEPT9,Q9UHD8,Septin-9 ,Nucleoplasm,0,cell division site,cytoskeleton-dependent cytokinesis,GTPase activity,9606.ENSP00000391249,Cell Cycle regulation,coral1,1,5.637666667,6.208333333,shScramble,shNcl,IR2h,3,Mre11ID
SLC7A5,Q01650,Large neutral amino acids transporter small subunit 1 ,Nucleoplasm,0,amino acid transport complex [GO:1990184],amino acid import across plasma membrane,antiporter activity,9606.ENSP00000261622,Cell Cycle regulation,coral1,1,6.886777778,7.177444444,shScramble,shNcl,IR2h,3,Mre11ID
SPOUT1,Q5T280,Putative methyltransferase C9orf114 ,Nucleoplasm,0,kinetochore ,cell cycle ,methyltransferase activity ,9606.ENSP00000354812,Cell Cycle regulation,coral1,1,5.570555556,4.410888889,shScramble,shNcl,IR2h,3,Mre11ID
SFXN4,Q6P4A7,Sideroflexin 4,Nucleoplasm,0,nucleoplasm,amino acid transport,transmembrane transporter activity,9606.ENSP00000347924,Cell Cycle regulation,coral1,1,0,3.561777778,0,shNcl,IR2h,3,Mre11ID
TBRG4,Q969Z0,FAST kinase domain-containing protein 4 ,Nucleoplasm,0,mitochondrial matrix [GO:0005759],cell cycle ,RNA binding ,9606.ENSP00000258770,Cell Cycle regulation,coral1,1,5.714777778,5.639111111,shScramble,shNcl,IR2h,3,Mre11ID
TUBB,P07437,Tubulin beta chain ,Nucleoplasm,DSB,nuclear envelope ,microtubule cytoskeleton organization ,ubiquitin protein ligase binding ,9606.ENSP00000339001,Cell Cycle regulation,coral1,1,5.986333333,6.838333333,shScramble,shNcl,IR2h,3,Mre11ID
SMC1A,Q14683,Structural maintenance of chromosomes 1A,Nucleoplasm,0,"chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cohesin complex [GO:0008278]; condensed nuclear chromosome [GO:0000794]; cytosol [GO:0005829]; kinetochore [GO:0000776]; meiotic cohesin complex [GO:0030893]; mitotic cohesin complex [GO:0030892]; mitotic spindle pole [GO:0097431]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","Cell cycle, Cell division, DNA damage, DNA repair, Meiosis, Mitosis",ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; mediator complex binding [GO:0036033]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723],9606.ENSP00000323421,Cell Cycle regulation,coral1,1,0,3.140777778,0,shNcl,IR2h,3,Mre11ID
VDAC1,P21796,Non-selective voltage-gated ion channel VDAC1 ,Nucleoplasm,0,nucleus,apoptotic process,porin activity,9606.ENSP00000378487,Cell Cycle regulation,coral1,1,5.011333333,7.181,shScramble,shNcl,IR2h,3,Mre11ID
TATDN1,Q6P1N9,TatD DNase domain containing 1,Nucleoplasm,0,mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],0,"Hydrolase, Nuclease",9606.ENSP00000276692,Cell Cycle regulation,coral1,1,0,3.053777778,0,shNcl,IR2h,3,Mre11ID
SF3B3,Q15393,Splicing factor 3b subunit 3,Nucleoplasm/Nucleolar_Rim,DSB,SAGA complex ,"mRNA splicing, via spliceosome ",mRNA binding ,9606.ENSP00000305790,Cell Cycle regulation,coral1,1,6.412222222,6.213888889,shScramble,shNcl,IR2h,3,Mre11ID
RAC1,P63000,Rac family small GTPase 1,Nucleoplasm/Nucleoli,0,NADPH oxidase complex ,positive regulation of DNA replication ,histone deacetylase binding ,9606.ENSP00000348461,Cell Cycle regulation,coral1,1,7.359666667,7.908666667,shScramble,shNcl,IR2h,3,Mre11ID
UBAP2L,Q14157,Ubiquitin associated protein 2 like,Nucleoplasm,0,PcG protein complex ,stress granule assembly ,RNA binding ,9606.ENSP00000389445,Cell Cycle regulation,coral1,1,0,3.103,0,shNcl,IR2h,3,Mre11ID
RAE1,P78406,Ribonucleic acid export 1,Nucleoplasm/Nucleoli_FibrillarCenter,0,nuclear pore ,"transcription, DNA-templated ",RNA binding ,9606.ENSP00000379181,Cell Cycle regulation,coral1,1,5.733,5.403,shScramble,shNcl,IR2h,3,Mre11ID
YES1,P07947,Tyrosine-protein kinase Yes ,Nucleoplasm,0,actin filament,protein phosphorylation,protein tyrosine kinase activity,9606.ENSP00000462468,Cell Cycle regulation,coral1,1,0,6.412888889,0,shNcl,IR2h,3,Mre11ID
ISOC2,Q96AB3,Isochorismatase domain-containing protein 2,Nucleus_1,0,cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634],protein destabilization [GO:0031648],0,9606.ENSP00000085068,Cell Cycle regulation,coral1,1,6.221555556,4.136222222,shScramble,shNcl,IR2h,3,Mre11ID
YTHDF2,Q9Y5A9,YTH domain-containing family protein 2 ,Nucleoplasm,MMR,centriolar satellite ,cell cycle ,mRNA binding ,9606.ENSP00000444660,Cell Cycle regulation,coral1,1,0,5.078111111,0,shNcl,IR2h,3,Mre11ID
LMNB2,Q03252,Lamin B2,NuclearMem,0,nuclear envelope ,nuclear envelope organization ,lamin binding ,9606.ENSP00000327054,Chromatin Organization,darkviolet,2,7.163444444,7.456777778,shScramble,shNcl,IR2h,3,Mre11ID
TMPO,P42166,Thymopoietin,NuclearMem,0,nuclear envelope ,nuclear envelope organization ,lamin binding ,9606.ENSP00000266732,Chromatin Organization,darkviolet,2,6.149444444,5.442111111,shScramble,shNcl,IR2h,3,Mre11ID
GNAI3,P08754,G protein subunit alpha i3,Nucleoplasm/Nucleoli,0, heterotrimeric G-protein complex [GO:0005834],cell cycle ,GTPase activity ,9606.ENSP00000358867,Cell Cycle regulation,coral1,1,0,7.231,0,shNcl,IR2h,3,Mre11ID
RAB34,Q9BZG1,"RAB34, member RAS oncogene family",Nucleoplasm/Nucleoli,0,actin cytoskeleton,intracellular protein transport,GTPase activity,9606.ENSP00000413156,Cell Cycle regulation,coral1,1,0,3.644666667,0,shNcl,IR2h,3,Mre11ID
ACSL3,O95573,Acyl-CoA synthetase long chain family member 3,Nucleolar_Rim,0,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal membrane [GO:0005778]; plasma membrane [GO:0005886],"Fatty acid metabolism, Lipid metabolism",Ligase,9606.ENSP00000350012,Chromatin Organization,darkviolet,2,6.345333333,8.169666667,shScramble,shNcl,IR2h,3,Mre11ID
IDH3G,P51553,Isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,Nucleoli,0,mitochondrial isocitrate dehydrogenase complex,2-oxoglutarate metabolic process,isocitrate dehydrogenase activity,9606.ENSP00000217901,Chromatin Organization,darkviolet,2,3.905222222,4.950222222,shScramble,shNcl,IR2h,3,Mre11ID
ACACA,Q13085,Acetyl-CoA carboxylase alpha,Nucleoli_FibrillarCenter,SSB,actin cytoskeleton ,acetyl-CoA biosynthetic process ,damaged DNA binding ,9606.ENSP00000483300,Chromatin Organization,darkviolet,2,2.732777778,4.467111111,shScramble,shNcl,IR2h,3,Mre11ID
ACAA2,P42765,Acetyl-CoA acyltransferase 2,Nucleoplasm,0,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739],"Fatty acid metabolism, Lipid metabolism","Acyltransferase, Hydrolase, Transferase",9606.ENSP00000285093,Chromatin Organization,darkviolet,2,8.339,8.896666667,shScramble,shNcl,IR2h,3,Mre11ID
