NAME,UniprotID,ProteinName,CellCompartment,DNA_Repair,GO_CC,GO_BP,GO_MF,stringId,Annotation,An.color,An.number,shScr.logFC,shNcl.logFC,shScr.Presence,shNcl.Presence,Time.Point,Order,Sensor
TBRG4,Q969Z0,FAST kinase domain-containing protein 4 ,Nucleoplasm,0,mitochondrial matrix [GO:0005759],cell cycle ,RNA binding ,9606.ENSP00000258770,Cell Cycle regulation,coral1,1,5.385777778,5.657111111,shScramble,shNcl,IR2h,3,Sirt6
MCM7,P33993,Minichromosome maintenance complex component 7,Nucleoplasm,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000307288,Cell Cycle regulation,coral1,1,5.615333333,7.708666667,shScramble,shNcl,IR2h,3,Sirt6
SPOUT1,Q5T280,Putative methyltransferase C9orf114 ,Nucleoplasm,0,kinetochore ,cell cycle ,methyltransferase activity ,9606.ENSP00000354812,Cell Cycle regulation,coral1,1,6.232888889,4.011555556,shScramble,shNcl,IR2h,3,Sirt6
GSTP1,P09211,Glutathione S-transferase P ,Nucleoplasm,0,nucleus,negative regulation of apoptotic process,glutathione transferase activity,9606.ENSP00000381607,Cell Cycle regulation,coral1,1,0,4.028444444,0,shNcl,IR2h,3,Sirt6
SLC7A5,Q01650,Large neutral amino acids transporter small subunit 1 ,Nucleoplasm,0,amino acid transport complex [GO:1990184],amino acid import across plasma membrane,antiporter activity,9606.ENSP00000261622,Cell Cycle regulation,coral1,1,4.963777778,3.803111111,shScramble,shNcl,IR2h,3,Sirt6
GNA13,Q14344,Guanine nucleotide-binding protein subunit alpha-13 ,Nucleoplasm,0,nucleus,Rho protein signal transduction,G-protein coupled receptor binding,9606.ENSP00000400717,Cell Cycle regulation,coral1,1,0,3.697777778,0,shNcl,IR2h,3,Sirt6
SON,P18583,SON DNA and RNA binding protein,Nucleoplasm,0,nuclear speck ,RNA processing ,RNA binding ,9606.ENSP00000348984,Cell Cycle regulation,coral1,1,4.381222222,0,shScramble,0,IR2h,3,Sirt6
EGFR,P00533,Epidermal growth factor receptor,Nucleoli,0, nuclear membrane [GO:0031965],positive regulation of protein kinase activity ,protein kinase binding ,9606.ENSP00000275493,Cell Cycle regulation,coral1,1,0,6.627444444,0,shNcl,IR2h,3,Sirt6
SFXN4,Q6P4A7,Sideroflexin 4,Nucleoplasm,0,nucleoplasm,amino acid transport,transmembrane transporter activity,9606.ENSP00000347924,Cell Cycle regulation,coral1,1,0,4.220111111,0,shNcl,IR2h,3,Sirt6
SF3B3,Q15393,Splicing factor 3b subunit 3,Nucleoplasm/Nucleolar_Rim,DSB,SAGA complex ,"mRNA splicing, via spliceosome ",mRNA binding ,9606.ENSP00000305790,Cell Cycle regulation,coral1,1,6.858555556,7.569888889,shScramble,shNcl,IR2h,3,Sirt6
SEPT9,Q9UHD8,Septin-9 ,Nucleoplasm,0,cell division site,cytoskeleton-dependent cytokinesis,GTPase activity,9606.ENSP00000391249,Cell Cycle regulation,coral1,1,6.398333333,5.458333333,shScramble,shNcl,IR2h,3,Sirt6
ATP2C1,P98194,Calcium-transporting ATPase type 2C member 1 ,Nucleoplasm,0,endoplasmic reticulum,calcium ion transport,calcium-transporting ATPase activity,9606.ENSP00000421326,Cell Cycle regulation,coral1,1,0,3.992444444,0,shNcl,IR2h,3,Sirt6
SEPT7,Q16181,Septin-7 ,Nucleoplasm,0,kinetochore ,cell cycle ,GTPase activity ,9606.ENSP00000413507,Cell Cycle regulation,coral1,1,6.363444444,6.867111111,shScramble,shNcl,IR2h,3,Sirt6
SEPT2,Q15019,Septin-2 ,Nucleoplasm,0,septin complex ,cell cycle ,GTPase activity ,9606.ENSP00000479861,Cell Cycle regulation,coral1,1,6.949111111,7.515444444,shScramble,shNcl,IR2h,3,Sirt6
SCRIB,Q14160,Scribble planar cell polarity protein,Nucleoplasm,BER,Scrib-APC-beta-catenin complex ,"transcription, DNA-templated ",cadherin binding ,9606.ENSP00000349486,Cell Cycle regulation,coral1,1,5.701444444,4.790444444,shScramble,shNcl,IR2h,3,Sirt6
ANAPC10,Q9UM13,Anaphase promoting complex subunit 10,Nucleoplasm,0,anaphase-promoting complex [GO:0005680]; cytosol [GO:0005829]; nucleoplasm [GO:0005654],"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway",0,9606.ENSP00000478501,Cell Cycle regulation,coral1,1,3.789222222,0,shScramble,0,IR2h,3,Sirt6
RRS1,Q15050,Ribosome biogenesis regulator 1 homolog,Nucleoli,DSB,condensed nuclear chromosome ,chromatin organization ,RNA binding ,9606.ENSP00000322396,Cell Cycle regulation,coral1,1,7.379333333,5.408333333,shScramble,shNcl,IR2h,3,Sirt6
ANAPC5,Q9UJX4,Anaphase promoting complex subunit 5,Nucleoplasm,0,anaphase-promoting complex [GO:0005680]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819],"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway",protein phosphatase binding [GO:0019903],9606.ENSP00000261819,Cell Cycle regulation,coral1,1,3.863444444,0,shScramble,0,IR2h,3,Sirt6
SEPHS1,P49903,Selenophosphate synthetase 1,Nucleoplasm,0,nuclear membrane,selenocysteine biosynthetic process,"selenide, water dikinase activity",9606.ENSP00000367893,Cell Cycle regulation,coral1,1,3.737777778,0,shScramble,0,IR2h,3,Sirt6
API5,Q9BZZ5,Apoptosis inhibitor 5,Nucleoplasm,0,cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681],Apoptosis,fibroblast growth factor binding [GO:0017134]; RNA binding [GO:0003723],9606.ENSP00000431391,Cell Cycle regulation,coral1,1,5.229,0,shScramble,0,IR2h,3,Sirt6
RPS6,P62753,Small ribosomal subunit protein eS6 ,Nucleoplasm,0,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,9606.ENSP00000369757,Cell Cycle regulation,coral1,1,7.414444444,6.995111111,shScramble,shNcl,IR2h,3,Sirt6
AURKB,Q96GD4,Aurora kinase B,Nucleoplasm,0,"chromocenter [GO:0010369]; chromosome passenger complex [GO:0032133]; condensed chromosome, centromeric region [GO:0000779]; cytosol [GO:0005829]; kinetochore [GO:0000776]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; mitotic spindle midzone [GO:1990023]; mitotic spindle pole [GO:0097431]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole centrosome [GO:0031616]","Cell cycle, Cell division, Mitosis","Kinase, Serine/threonine-protein kinase, Transferase",9606.ENSP00000313950,Cell Cycle regulation,coral1,1,5.516333333,0,shScramble,0,IR2h,3,Sirt6
RHOA,P61586,Transforming protein RhoA ,Nucleoplasm,HR,nucleus,regulation of actin cytoskeleton organization,protein kinase binding,9606.ENSP00000400175,Cell Cycle regulation,coral1,1,6.713,6.888666667,shScramble,shNcl,IR2h,3,Sirt6
BCCIP,Q9P287,BRCA2 and CDKN1A interacting protein,Nucleoplasm,0,centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; mitotic spindle pole [GO:0097431]; nuclear cyclin-dependent protein kinase holoenzyme complex [GO:0019908]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"Cell cycle, DNA damage, DNA repair",kinase regulator activity [GO:0019207]; RNA binding [GO:0003723]; tubulin binding [GO:0015631],9606.ENSP00000357748,Cell Cycle regulation,coral1,1,4.304111111,0,shScramble,0,IR2h,3,Sirt6
RALA,P11233,Ras-related protein Ral-A ,Nucleoplasm,0,cleavage furrow,cell cycle,ubiquitin protein ligase binding,9606.ENSP00000005257,Cell Cycle regulation,coral1,1,5.730666667,6.906666667,shScramble,shNcl,IR2h,3,Sirt6
CSNK1D,P48730,Casein kinase 1 delta,Nucleoplasm,0,centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; spindle [GO:0005819]; spindle microtubule [GO:0005876],"Biological rhythms, Wnt signaling pathway","Kinase, Serine/threonine-protein kinase, Transferase",9606.ENSP00000381531,Cell Cycle regulation,coral1,1,3.740777778,0,shScramble,0,IR2h,3,Sirt6
RAE1,P78406,Ribonucleic acid export 1,Nucleoplasm/Nucleoli_FibrillarCenter,0,nuclear pore ,"transcription, DNA-templated ",RNA binding ,9606.ENSP00000379181,Cell Cycle regulation,coral1,1,6.851666667,6.08,shScramble,shNcl,IR2h,3,Sirt6
HELLS,Q9NRZ9,"Helicase, lymphoid specific",Nucleoplasm,0,"chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]","Cell cycle, Cell division, Mitosis, Transcription, Transcription regulation","Developmental protein, Helicase, Hydrolase",9606.ENSP00000377601,Cell Cycle regulation,coral1,1,4.837222222,0,shScramble,0,IR2h,3,Sirt6
RACK1,P63244,Receptor for activated C kinase 1,Nucleoplasm,DSB,IRE1-RACK1-PP2A complex ,cell cycle ,RNA binding ,9606.ENSP00000426909,Cell Cycle regulation,coral1,1,6.477555556,6.380222222,shScramble,shNcl,IR2h,3,Sirt6
INTS7,Q9NVH2,Integrator complex subunit 7,Nucleoplasm,0,chromosome [GO:0005694]; cytoplasm [GO:0005737]; integrator complex [GO:0032039]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],DNA damage,0,9606.ENSP00000355961,Cell Cycle regulation,coral1,1,4.941111111,0,shScramble,0,IR2h,3,Sirt6
RAC1,P63000,Rac family small GTPase 1,Nucleoplasm/Nucleoli,0,NADPH oxidase complex ,positive regulation of DNA replication ,histone deacetylase binding ,9606.ENSP00000348461,Cell Cycle regulation,coral1,1,6.846666667,7.858333333,shScramble,shNcl,IR2h,3,Sirt6
NSL1,Q96IY1,NSL1 component of MIS12 kinetochore complex,Nucleoplasm,0,cytosol [GO:0005829]; kinetochore [GO:0000776]; MIS12/MIND type complex [GO:0000444]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; spindle pole [GO:0000922],"Cell cycle, Cell division, Chromosome partition, Mitosis",0,9606.ENSP00000355944,Cell Cycle regulation,coral1,1,4.012111111,0,shScramble,0,IR2h,3,Sirt6
RAB34,Q9BZG1,"RAB34, member RAS oncogene family",Nucleoplasm/Nucleoli,0,actin cytoskeleton,intracellular protein transport,GTPase activity,9606.ENSP00000413156,Cell Cycle regulation,coral1,1,3.403333333,4.719333333,shScramble,shNcl,IR2h,3,Sirt6
CDCA8,Q53HL2,Cell division cycle associated 8,Nucleoplasm/Nucleoli,0,"chromocenter [GO:0010369]; chromosome passenger complex [GO:0032133]; chromosome, centromeric region [GO:0000775]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]; spindle midzone [GO:0051233]","Cell cycle, Cell division, Mitosis",0,9606.ENSP00000362146,Cell Cycle regulation,coral1,1,3.749666667,0,shScramble,0,IR2h,3,Sirt6
PPP1CC,P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit ,Nucleoplasm,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000341779,Cell Cycle regulation,coral1,1,5.353555556,6.762222222,shScramble,shNcl,IR2h,3,Sirt6
ORC4,O43929,Origin recognition complex subunit 4,Nucleoplasm/Nucleoli,0,"chromosome, telomeric region [GO:0000781]; cytosol [GO:0005829]; nuclear origin of replication recognition complex [GO:0005664]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; origin recognition complex [GO:0000808]",DNA replication,DNA-binding,9606.ENSP00000441953,Cell Cycle regulation,coral1,1,4.044111111,0,shScramble,0,IR2h,3,Sirt6
RAB5A,P20339,"RAB5A, member RAS oncogene family",Nucleoplasm,0,actin cytoskeleton,intracellular protein transport,GTPase activity,9606.ENSP00000273047,Cell Cycle regulation,coral1,1,2.900111111,0,shScramble,0,IR2h,3,Sirt6
GAR1,Q9NY12,GAR1 ribonucleoprotein,Nucleoplasm/Nucleoli_FibrillarCenter,0,"box H/ACA scaRNP complex [GO:0072589]; box H/ACA snoRNP complex [GO:0031429]; box H/ACA telomerase RNP complex [GO:0090661]; chromosome, telomeric region [GO:0000781]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; telomerase holoenzyme complex [GO:0005697]","Ribosome biogenesis, rRNA processing","Ribonucleoprotein, RNA-binding",9606.ENSP00000226796,Cell Cycle regulation,coral1,1,4.412,0,shScramble,0,IR2h,3,Sirt6
PPP1CB,P62140,Protein phosphatase 1 catalytic subunit beta,Nucleoplasm,0,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000378769,Cell Cycle regulation,coral1,1,4.513222222,6.055888889,shScramble,shNcl,IR2h,3,Sirt6
PPP1CA,P62136,Protein phosphatase 1 catalytic subunit alpha,Nucleoplasm,ForkStall,PTW/PP1 phosphatase complex ,cell cycle ,protein phosphatase 1 binding ,9606.ENSP00000326031,Cell Cycle regulation,coral1,1,7.076777778,8.317111111,shScramble,shNcl,IR2h,3,Sirt6
YEATS2,Q9ULM3,YEATS domain containing 2,Nucleoplasm,0,NuA4 histone acetyltransferase complex ,chromatin remodeling ,TBP-class protein binding ,9606.ENSP00000306983,Chromatin Organization,darkviolet,2,0,5.645111111,0,shNcl,IR2h,3,Sirt6
PELO,Q9BRX2,Pelota mRNA surveillance and ribosome rescue factor,Nucleoplasm/Nucleoli_FibrillarCenter,DSB,nucleus ,cell cycle ,endonuclease activity ,9606.ENSP00000274311,Cell Cycle regulation,coral1,1,4.523777778,3.118444444,shScramble,shNcl,IR2h,3,Sirt6
SUPT16H,Q9Y5B9,"SPT16 homolog, facilitates chromatin remodeling subunit",Nucleoplasm/Nucleoli_FibrillarCenter,0,FACT complex ,chromatin organization ,nucleosome binding ,9606.ENSP00000216297,Chromatin Organization,darkviolet,2,3.725222222,7.445555556,shScramble,shNcl,IR2h,3,Sirt6
PTPMT1,Q8WUK0,Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 ,Nucleoplasm,0,nucleus,dephosphorylation,phosphoprotein phosphatase activity,9606.ENSP00000325958,Cell Cycle regulation,coral1,1,4.902555556,0,shScramble,0,IR2h,3,Sirt6
SSRP1,Q08945,Structure specific recognition protein 1,Nucleoplasm,DSB,FACT complex ,chromatin organization ,chromatin binding ,9606.ENSP00000278412,Chromatin Organization,darkviolet,2,4.957,7.560666667,shScramble,shNcl,IR2h,3,Sirt6
PDHA1,P08559,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial ",Nucleoplasm,0,pyruvate dehydrogenase complex,tricarboxylic acid cycle,pyruvate dehydrogenase (NAD+) activity,9606.ENSP00000369134,Cell Cycle regulation,coral1,1,6.714555556,7.511555556,shScramble,shNcl,IR2h,3,Sirt6
SART3,Q15020,"Spliceosome associated factor 3, U4/U6 recycling protein",Nucleoplasm,0,ASAP complex ,chromatin organization ,histone binding ,9606.ENSP00000449386,Chromatin Organization,darkviolet,2,3.085888889,7.488888889,shScramble,shNcl,IR2h,3,Sirt6
ORC2,Q13416,Origin recognition complex subunit 2,Nucleoplasm,MMR,origin recognition complex ,DNA duplex unwinding ,DNA replication origin binding ,9606.ENSP00000234296,Cell Cycle regulation,coral1,1,5.615444444,7.183111111,shScramble,shNcl,IR2h,3,Sirt6
JMJD1C,Q15652,Jumonji domain containing 1C,Nucleoplasm,HR,histone deacetylase complex ,chromatin organization ,chromatin binding ,9606.ENSP00000382204,Chromatin Organization,darkviolet,2,0,6.796444444,0,shNcl,IR2h,3,Sirt6
OPA1,O60313,OPA1 mitochondrial dynamin like GTPase,Nucleoplasm,0,nucleoplasm,apoptotic process,GTPase activity,9606.ENSP00000354681,Cell Cycle regulation,coral1,1,0,7.043666667,0,shNcl,IR2h,3,Sirt6
GRWD1,Q9BQ67,Glutamate rich WD repeat containing 1,Nucleoplasm/Nucleolar_Rim,0,chromosome [GO:0005694],chromatin remodeling ,chromatin binding ,9606.ENSP00000253237,Chromatin Organization,darkviolet,2,6.851555556,4.671222222,shScramble,shNcl,IR2h,3,Sirt6
GNL3L,Q9NVN8,G protein nucleolar 3 like,Nucleoplasm/Nucleoli,DSB,telomerase holoenzyme complex ,negative regulation of telomere maintenance via telomerase ,RNA binding ,9606.ENSP00000354091,Chromatin Organization,darkviolet,2,6.132333333,0,shScramble,0,IR2h,3,Sirt6
NOLC1,Q14978,Nucleolar and coiled-body phosphoprotein 1,Nucleoli_FibrillarCenter,DSB,box C/D RNP complex ,rRNA processing ,RNA binding ,9606.ENSP00000385410,Cell Cycle regulation,coral1,1,6.831555556,8.333555556,shScramble,shNcl,IR2h,3,Sirt6
DDRGK1,Q96HY6,DDRGK domain containing 1,Nucleoli,0,nucleolus,protein ufmylation,ubiquitin-like protein ligase binding,9606.ENSP00000346483,Chromatin Organization,darkviolet,2,4.068111111,6.815444444,shScramble,shNcl,IR2h,3,Sirt6
NMT1,P30419,Glycylpeptide N-tetradecanoyltransferase 1 ,Nucleoplasm,0,cytoplasm ,N-terminal protein myristoylation ,myristoyltransferase activity ,9606.ENSP00000468424,Cell Cycle regulation,coral1,1,4.684888889,5.220888889,shScramble,shNcl,IR2h,3,Sirt6
ACACA,Q13085,Acetyl-CoA carboxylase alpha,Nucleoli_FibrillarCenter,SSB,actin cytoskeleton ,acetyl-CoA biosynthetic process ,damaged DNA binding ,9606.ENSP00000483300,Chromatin Organization,darkviolet,2,0,6.652111111,0,shNcl,IR2h,3,Sirt6
ACSL3,O95573,Acyl-CoA synthetase long chain family member 3,Nucleolar_Rim,0,endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; lipid droplet [GO:0005811]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; perinuclear region of cytoplasm [GO:0048471]; peroxisomal membrane [GO:0005778]; plasma membrane [GO:0005886],"Fatty acid metabolism, Lipid metabolism",Ligase,9606.ENSP00000350012,Chromatin Organization,darkviolet,2,6.246666667,8.615,shScramble,shNcl,IR2h,3,Sirt6
NFS1,Q9Y697,NFS1 cysteine desulfurase,Nucleoplasm,0,nucleus,iron incorporation into metallo-sulfur cluster,iron-sulfur cluster binding,9606.ENSP00000363205,Cell Cycle regulation,coral1,1,0,3.695111111,0,shNcl,IR2h,3,Sirt6
ASH2L,Q9UBL3,"ASH2 like, histone lysine methyltransferase complex subunit",Nucleoplasm,0,euchromatin [GO:0000791]; histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188],"Transcription, Transcription regulation","Chromatin regulator, DNA-binding",9606.ENSP00000340896,Chromatin Organization,darkviolet,2,4.478444444,0,shScramble,0,IR2h,3,Sirt6
NES,P48681,Nestin,Nucleoplasm,0,intermediate filament,G2/M transition of mitotic cell cycle,intermediate filament binding,9606.ENSP00000357206,Cell Cycle regulation,coral1,1,7.265777778,6.119111111,shScramble,shNcl,IR2h,3,Sirt6
CTCF,P49711,CCCTC-binding factor,Nucleoplasm,0,"chromosome, centromeric region [GO:0000775]; condensed chromosome [GO:0000793]; male germ cell nucleus [GO:0001673]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]","Chromosome partition, Transcription, Transcription regulation","Activator, Chromatin regulator, DNA-binding, Repressor",9606.ENSP00000494538,Chromatin Organization,darkviolet,2,7.055333333,0,shScramble,0,IR2h,3,Sirt6
NAT10,Q9H0A0,N-acetyltransferase 10,Nucleoli,0, telomerase holoenzyme complex [GO:0005697],telomere maintenance via telomerase ,telomerase RNA binding ,9606.ENSP00000257829,Cell Cycle regulation,coral1,1,7.997555556,7.411222222,shScramble,shNcl,IR2h,3,Sirt6
DNAJC9,Q8WXX5,DnaJ heat shock protein family (Hsp40) member C9,Nucleoplasm,0,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein folding chaperone complex [GO:0101031],nucleosome assembly [GO:0006334]; positive regulation of ATP-dependent activity [GO:0032781],Chaperone,9606.ENSP00000362041,Chromatin Organization,darkviolet,2,0,3.036111111,0,shNcl,IR2h,3,Sirt6
EED,O75530,Embryonic ectoderm development,Nucleoplasm,0,chromosome [GO:0005694]; cytosol [GO:0005829]; ESC/E(Z) complex [GO:0035098]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"Host-virus interaction, Transcription, Transcription regulation","Chromatin regulator, Repressor",9606.ENSP00000338186,Chromatin Organization,darkviolet,2,3.475777778,0,shScramble,0,IR2h,3,Sirt6
EZH2,Q15910,Enhancer of zeste 2 polycomb repressive complex 2 subunit,Nucleoplasm,0,"chromatin [GO:0000785]; chromatin silencing complex [GO:0005677]; chromosome [GO:0005694]; chromosome, telomeric region [GO:0000781]; ESC/E(Z) complex [GO:0035098]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]; pronucleus [GO:0045120]; synapse [GO:0045202]","Biological rhythms, Transcription, Transcription regulation","Chromatin regulator, Methyltransferase, Repressor, Transferase",9606.ENSP00000320147,Chromatin Organization,darkviolet,2,3.496777778,0,shScramble,0,IR2h,3,Sirt6
MAT2A,P31153,Methionine adenosyltransferase 2A,Nucleoplasm,0,cytosol [GO:0005829]; methionine adenosyltransferase complex [GO:0048269],One-carbon metabolism,Transferase,9606.ENSP00000303147,Chromatin Organization,darkviolet,2,0,4.762777778,0,shNcl,IR2h,3,Sirt6
PHF10,Q8WUB8,PHD finger protein 10,Nucleoplasm,0,chromatin [GO:0000785]; kinetochore [GO:0000776]; npBAF complex [GO:0071564]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RSC-type complex [GO:0016586]; SWI/SNF complex [GO:0016514],"Neurogenesis, Transcription, Transcription regulation",chromatin binding [GO:0003682]; histone acetyltransferase activity [GO:0004402]; metal ion binding [GO:0046872]; transcription coregulator activity [GO:0003712],9606.ENSP00000341805,Chromatin Organization,darkviolet,2,4.110444444,0,shScramble,0,IR2h,3,Sirt6
MCM5,P33992,Minichromosome maintenance complex component 5,Nucleoplasm,0,CMG complex ,DNA duplex unwinding ,DNA helicase activity ,9606.ENSP00000216122,Cell Cycle regulation,coral1,1,6.222777778,7.281777778,shScramble,shNcl,IR2h,3,Sirt6
