NAME,DNA_Repair,GO_CC,GO_BP,GO_MF,Uniprot,stringId,Description,nonIR5,IR5,IR30,IR2h,IR8h,IR24h,nonIR24,FC.nonIR5,FC.IR5,FC.IR30,FC.IR2,FC.IR8,FC.IR24,FC.nonIR24,Annotation,An.color,An.number,FuzzyCMeans,Sensor,All_Venn,nonIR5_Venn,IR5_Venn,IR30_Venn,IR2_Venn,IR8_Venn,IR24_Venn,nonIR24_Venn,C2hrs_Venn,C8hrs_Venn,Cmin2hrs_Venn,C2&8hrs_Venn,PCA,OPLS.Sensor,OPLS.Test,VIP.S6vsMre,VIP.S6vsKu,VIP.KuvsMre,Degree,Eigen,Closeness,Betweeness,Hubs,Authority,Transitivity,nonIR5.Degree,nonIR5.Connectivity,nonIR5.Participation,nonIR5.Module,nonIR5.Role,IR5.Degree,IR5.Connectivity,IR5.Participation,IR5.Module,IR5.Role,IR30.Degree,IR30.Connectivity,IR30.Participation,IR30.Module,IR30.Role,IR2.Degree,IR2.Connectivity,IR2.Participation,IR2.Module,IR2.Role,IR8.Degree,IR8.Connectivity,IR8.Participation,IR8.Module,IR8.Role,IR24.Degree,IR24.Connectivity,IR24.Participation,IR24.Module,IR24.Role,nonIR24.Degree,nonIR24.Connectivity,nonIR24.Participation,nonIR24.Module,nonIR24.Role,Sensor2
DHX9,NER,RISC complex ,DNA duplex unwinding ,transcription coactivator activity ,Q08211,9606.ENSP00000356520,"ATP-dependent RNA helicase A; Multifunctional ATP-dependent nucleic acid helicase that unwinds DNA and RNA in a 3' to 5' direction and that plays important roles in many processes, such as DNA replication, transcriptional activation, post-transcriptional RNA regulation, mRNA translation and RNA-mediated gene silencing. Requires a 3'-single-stranded tail as entry site for acid nuclei unwinding activities as well as the binding and hydrolyzing of any of the four ribo- or deoxyribo- nucleotide triphosphates (NTPs). Unwinds numerous nucleic acid substrates such as double-stranded (ds) DNA  [...] ",1,1,1,1,1,1,1,10.69633333,9.048,9.979,9.84,10.75666667,10.522,10.29733333,DNA Repair,firebrick1,3,0,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,0,0,Mre,0,0,0,0,0.29934358,0.803390377,0.047059056,23,0.002161052,0.88191242,0.002520519,0.002161052,0.002161052,0.264822134,26,1.700742655,0.330473937,2,Peripheral,24,1.587672254,0.336784252,1,Peripheral,25,1.798873532,0.312268381,8,Peripheral,26,0.15361446,0.295434791,8,Peripheral,28,0.060938207,0.284646644,5,Peripheral,22,1.511661588,0.283029142,1,Peripheral,21,0.365154052,0.235172183,3,Peripheral,Sirt6
SPTBN1,NHEJ,nucleolus ,actin filament capping ,RNA binding ,Q01082,9606.ENSP00000349259,"Spectrin beta chain, non-erythrocytic 1; Fodrin, which seems to be involved in secretion, interacts with calmodulin in a calcium-dependent manner and is thus candidate for the calcium-dependent movement of the cytoskeleton at the membrane; Pleckstrin homology domain containing",1,1,1,1,1,1,1,8.0775,6.655333333,8.821666667,9.181333333,10.67833333,8.155666667,8.609,Cell Cycle regulation,coral1,1,0,Sirt6,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku,0,0,0,0,0,S6&Ku,S6vsMre&MrevsKu,2.116228848,0.368490936,2.150200344,3,0.000196449,0.597482728,0.000684127,0.000196449,0.000196449,0,2,-0.851600884,0.44517423,5,Peripheral,1,0,0,3,Ultra peripheral,2,0,0.44517423,6,Peripheral,2,-0.983135236,0.44517423,5,Peripheral,2,-0.367851185,0.44517423,6,Peripheral,2,-1.516906084,0,2,Ultra peripheral,1,0,0,1,Ultra peripheral,Sirt6
NCL,DSB,spliceosomal complex ,"transcription, DNA-templated ",DNA binding ,P19338,9606.ENSP00000318195,Nucleolin; Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a role in pre-rRNA transcription and ribosome assembly. May play a role in the process of transcriptional elongation. Binds RNA oligonucleotides with 5'-UUAGGG-3' repeats more tightly than the telomeric single-stranded DNA 5'-TTAGGG-3' repeats,1,1,1,1,1,1,1,10.70866667,7.286,9.52866667,10.605,10.62133333,9.97166667,9.060333333,Transcription Regulation,slateblue1,9,0,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,0,0,Mre,0,0,0,0,0.596014878,0.850768475,0.258254393,15,0.029905697,0.759911485,0.003916736,0.029905697,0.029905697,0.152380952,13,-0.803870892,0.657293652,2,Connector,12,-0.857784949,0.718278302,1,Connector,13,-0.769710614,0.6548224,8,Connector,16,-0.307749265,0.719781241,5,Connector,19,-0.425742239,0.690799135,4,Connector,14,-0.787725382,0.707257484,1,Connector,12,-0.514472381,0.716146878,5,Connector,Sirt6
EIF4A3,HR,spliceosomal complex ,"mRNA splicing, via spliceosome ",RNA helicase activity ,P38919,9606.ENSP00000497641,Eukaryotic initiation factor 4A-III; ATP-dependent RNA helicase. Core component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junctions on mRNAs. The EJC is a dynamic structure consisting of core proteins and several peripheral nuclear and cytoplasmic associated factors that join the complex only transiently either during EJC assembly or during subsequent mRNA metabolism. The EJC marks the position of the exon-exon junction in the mature mRNA for the gene expression machinery and the core components remain bound to spliced mRNAs throughout all s [...] ,1,1,1,1,1,1,1,8.486666667,5.913666667,8.880666667,8.447666667,10.48366667,8.765666667,8.376,Ribosome Biosynthesis,lightgreen,7,0,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,0,0,0,Ku,0,0,0,1.129594753,0.117445088,1.19843763,75,0.148066787,0.7722091,0.00177632,0.148066787,0.148066787,0.218378378,49,0.650148496,0.63242793,4,Connector,42,0.46725641,0.64725904,10,Connector,48,0.175969307,0.66701264,1,Connector,55,1.670179784,0.425895548,8,Peripheral,63,1.664575237,0.417465828,5,Peripheral,39,0.16938835,0.658729893,2,Connector,42,1.61647085,0.489907703,3,Peripheral,Sirt6
RPL5,HR,nucleolus ,ribosome biogenesis ,structural constituent of ribosome ,P46777,9606.ENSP00000359345,"60S ribosomal protein L5; Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl- transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through [...] ",1,1,1,1,1,1,1,3.128,6.037666667,5.641666667,9.206,10.48033333,4.991333333,5.107333333,p53 Pathway,tomato,5,3,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Mre,S6&Ku&Mre,0,0,Mre,S6,0,0,0,0.103094624,0.306232122,0.33394081,95,0.854722111,0.768973013,0.003422929,0.854722111,0.854722111,0.615901456,41,1.184980516,0.11595751,1,Peripheral,35,1.077970316,0.179665184,8,Peripheral,40,0.870389792,0.145135859,2,Peripheral,58,0.619568798,0.278626814,3,Peripheral,72,0.791723762,0.338960311,1,Peripheral,35,1.023590552,0.134874988,6,Peripheral,43,0.664174606,0.267643338,4,Peripheral,Sirt6
LRPPRC,DSB,ribonucleoprotein complex ,mRNA transport ,ubiquitin protein ligase binding ,P42704,9606.ENSP00000260665,"Leucine-rich PPR motif-containing protein, mitochondrial; May play a role in RNA metabolism in both nuclei and mitochondria. In the nucleus binds to HNRPA1-associated poly(A) mRNAs and is part of nmRNP complexes at late stages of mRNA maturation which are possibly associated with nuclear mRNA export. May bind mature mRNA in the nucleus outer membrane. In mitochondria binds to poly(A) mRNA. Plays a role in translation or stability of mitochondrially encoded cytochrome c oxidase (COX) subunits. May be involved in transcription regulation. Cooperates with PPARGC1A to regulate certain mito [...] ",1,1,1,1,1,1,1,8.481666667,7.567333333,9.447,9.607,10.43833333,5.031666667,7.331666667,RNA Metabolism,gold,8,0,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,0,0,Mre,0,0,0,0,0.966126616,0.452216369,0.81943146,4,0.000104582,0.662079577,0.000109441,0.000104582,0.000104582,0,2,-1.089829695,0,2,Ultra peripheral,2,-1.154725698,0,1,Ultra peripheral,2,-1.06297312,0,8,Ultra peripheral,1,-1.151989065,0,8,Ultra peripheral,3,-0.842302605,0.419545873,4,Peripheral,2,-1.083336176,0,1,Ultra peripheral,2,-0.893643701,0.499977974,5,Peripheral,Sirt6
RPS11,ForkStall,cytosolic large ribosomal subunit ,ribosome biogenesis ,structural constituent of ribosome ,P62280,9606.ENSP00000270625,Small subunit ribosomal protein s11e; Ribosomal protein S11; Belongs to the universal ribosomal protein uS17 family,1,1,1,1,1,1,1,7.934666667,3.504,5.751666667,8.450333333,10.40366667,2.724333333,2.399666667,Ribosome Biosynthesis,lightgreen,7,3,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,0,0,Mre,S6,0,0,0,0.02727076,0.30832401,0.18299825,113,0.992847196,0.763432846,0.000617305,0.992847196,0.992847196,0.549304678,41,1.298576593,0.122484163,1,Peripheral,41,0.725311164,0.483392156,8,Peripheral,44,1.216313644,0.15572252,2,Peripheral,62,0.551095551,0.407392736,3,Peripheral,69,0.680075245,0.374497521,1,Peripheral,39,0.519048641,0.473847783,6,Peripheral,45,0.526240368,0.389244043,4,Peripheral,Sirt6
ILF2,NHEJ,ribonucleoprotein complex ,"transcription, DNA-templated ",DNA binding ,Q12905,9606.ENSP00000355011,Interleukin enhancer-binding factor 2; Appears to function predominantly as a heterodimeric complex with ILF3. This complex may regulate transcription of the IL2 gene during T-cell activation. It can also promote the formation of stable DNA-dependent protein kinase holoenzyme complexes on DNA. Essential for the efficient reshuttling of ILF3 (isoform 1 and isoform 2) into the nucleus,1,1,1,1,1,1,1,9.177,8.344333333,7.666333333,8.291,10.29366667,8.51,9.55966667,Transcription Regulation,slateblue1,9,0,Sirt6,S6&Ku&Mre,S6&Ku,S6&Ku,S6&Ku,S6&Ku,S6&Ku&Mre,S6&Ku,S6&Ku,0,Mre,0,0,PC3,S6&Ku,S6vsMre&MrevsKu,1.995720191,0.753081652,2.124086948,19,0.005056485,0.94880935,0.006921544,0.005056485,0.005056485,0.32748538,19,-0.172448152,0.648587856,2,Connector,16,-0.091077263,0.58897056,1,Peripheral,17,-0.012500232,0.565983397,8,Peripheral,17,-0.35960419,0.23497714,8,Peripheral,19,-0.37270025,0.224312471,5,Peripheral,15,-0.178435,0.574156817,1,Peripheral,15,-0.166378747,0.187735615,3,Peripheral,Sirt6
SF3B3,DSB,SAGA complex ,"mRNA splicing, via spliceosome ",mRNA binding ,Q15393,9606.ENSP00000305790,"Splicing factor 3B subunit 3; Involved in pre-mRNA splicing as a component of the splicing factor SF3B complex. SF3B complex is required for 'A' complex assembly formed by the stable binding of U2 snRNP to the branchpoint sequence (BPS) in pre-mRNA. Sequence independent binding of SF3A/SF3B complex upstream of the branch site is essential, it may anchor U2 snRNP to the pre-mRNA. May also be involved in the assembly of the 'E' complex. Belongs also to the minor U12-dependent spliceosome, which is involved in the splicing of rare class of nuclear pre-mRNA intron",1,1,1,1,1,1,1,8.435,8.766,8.65,8.939666667,10.281,9.161,8.469666667,Cell Cycle regulation,coral1,1,4,Sirt6,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,S6&Ku,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku,0,S6,0,Ku,0,S6&Ku,S6vsMre&MrevsKu,1.67907623,0.011358346,1.697837753,45,0.022626831,0.751377876,0.002552821,0.022626831,0.022626831,0.594949495,30,1.330974723,0.188137712,4,Peripheral,27,1.729768348,0.112103219,10,Peripheral,28,1.058886282,0.153574721,1,Peripheral,35,2.054911181,0,8,Ultra peripheral,39,1.738661392,0.087114506,5,Peripheral,25,1.102376953,0.187680553,2,Peripheral,24,1.715389501,0,3,Ultra peripheral,Sirt6
RACK1,DSB,IRE1-RACK1-PP2A complex ,cell cycle ,RNA binding ,P63244,9606.ENSP00000426909,Receptor of activated protein C kinase 1; (Microbial infection) Contributes to the cap-independent internal ribosome entry site (IRES)-mediated translation by some RNA viruses; Belongs to the WD repeat G protein beta family. Ribosomal protein RACK1 subfamily,1,1,1,1,1,1,1,7.358083333,7.6575,7.7445,7.8045,10.0605,5.2805,7.6625,Cell Cycle regulation,coral1,1,0,Sirt6,S6&Ku&Mre,S6&Ku,S6&Ku,S6&Ku&Mre,S6&Ku,S6&Ku&Mre,S6&Ku&Mre,S6&Ku&Mre,0,0,Mre,0,0,Sirt6,S6vsMre,1.342443235,0.42585145,1.335324168,80,0.835190224,0.765852396,0.000397748,0.835190224,0.835190224,0.724050633,28,0.360353817,0.129745339,1,Peripheral,25,0.456381619,0.109935514,8,Peripheral,31,0.432965793,0.087233171,2,Peripheral,44,0.372111418,0.088539689,3,Peripheral,50,0.456199878,0.072052936,1,Peripheral,27,0.358206397,0.140191959,6,Peripheral,32,0.264966366,0.083695148,4,Peripheral,Sirt6
